aircraft_id,department,year,month,maintenance_hours,technician_id,effective_condition_score
TB2-A01,Alpha,2022,1,16.0,G08693,98.7
TB2-A01,Alpha,2022,2,7.1,G08859,97.0
TB2-A01,Alpha,2022,3,14.7,G24344,89.0
TB2-A01,Alpha,2022,4,7.1,G13541,97.2
TB2-A01,Alpha,2022,5,9.3,G22733,89.4
TB2-A01,Alpha,2022,6,11.4,G18574,94.7
TB2-A01,Alpha,2022,7,11.2,G20209,94.1
TB2-A01,Alpha,2022,8,14.7,G13885,100.0
TB2-A01,Alpha,2022,9,13.6,G15195,95.6
TB2-A01,Alpha,2022,10,11.4,G13885,95.2
TB2-A01,Alpha,2022,11,12.1,G23995,93.7
TB2-A01,Alpha,2022,12,11.0,G22769,93.3
TB2-A01,Alpha,2023,1,19.9,G08482,89.0
TB2-A01,Alpha,2023,2,5.4,G22963,87.1
TB2-A01,Alpha,2023,3,14.8,G21587,92.7
TB2-A01,Alpha,2023,4,15.6,G22206,92.9
TB2-A01,Alpha,2023,5,14.1,G08482,93.9
TB2-A01,Alpha,2023,6,17.8,G13364,94.9
TB2-A01,Alpha,2023,7,15.1,G11957,98.6
TB2-A01,Alpha,2023,8,7.8,G20209,92.7
TB2-A01,Alpha,2023,9,16.9,G13364,91.5
TB2-A01,Alpha,2023,10,10.8,G08482,95.2
TB2-A01,Alpha,2023,11,15.6,G23445,100.0
TB2-A01,Alpha,2023,12,8.4,G21587,88.0
TB2-A01,Alpha,2024,1,21.2,G15195,94.4
TB2-A01,Alpha,2024,2,14.3,G23253,93.1
TB2-A01,Alpha,2024,3,15.6,G08482,93.1
TB2-A01,Alpha,2024,4,13.5,G08643,89.0
TB2-A01,Alpha,2024,5,20.1,G25102,89.6
TB2-A01,Alpha,2024,6,14.0,G23445,92.0
TB2-A01,Alpha,2024,7,18.0,G25255,93.3
TB2-A01,Alpha,2024,8,12.8,G20209,90.2
TB2-A01,Alpha,2024,9,13.0,G24726,89.9
TB2-A01,Alpha,2024,10,16.9,G13364,92.2
TB2-A01,Alpha,2024,11,11.2,G23445,83.7
TB2-A01,Alpha,2024,12,16.1,G24645,95.4
TB2-A01,Alpha,2025,1,8.4,G22585,92.9
TB2-A01,Alpha,2025,2,19.5,G18574,86.7
TB2-A01,Alpha,2025,3,15.3,G22769,93.5
TB2-A01,Alpha,2025,4,14.6,G23995,89.8
TB2-A01,Alpha,2025,5,15.7,G23995,91.9
TB2-A01,Alpha,2025,6,12.2,G13364,91.9
TB2-A01,Alpha,2025,7,10.7,G22249,91.8
TB2-A01,Alpha,2025,8,17.9,G08643,89.3
TB2-A01,Alpha,2025,9,16.0,G22585,97.6
TB2-A01,Alpha,2025,10,23.2,G22249,88.4
TB2-A01,Alpha,2025,11,21.5,G23673,90.8
TB2-A01,Alpha,2025,12,10.3,G22963,90.9
TB2-A01,Alpha,2026,1,16.1,G23338,93.0
TB2-A01,Alpha,2026,2,19.6,G22249,91.7
TB2-A01,Alpha,2026,3,17.6,G15195,87.4
TB2-A01,Alpha,2026,4,17.9,G17797,87.3
TB2-A01,Alpha,2026,5,21.1,G20209,92.9
TB2-A01,Alpha,2026,6,17.7,G20209,88.6
TB2-A02,Alpha,2023,6,4.0,G11957,88.7
TB2-A02,Alpha,2023,7,8.7,G08643,80.2
TB2-A02,Alpha,2023,8,13.6,G23338,82.8
TB2-A02,Alpha,2023,9,16.5,G21944,82.5
TB2-A02,Alpha,2023,10,7.6,G08693,83.8
TB2-A02,Alpha,2023,11,13.8,G11223,90.8
TB2-A02,Alpha,2023,12,8.8,G22585,81.5
TB2-A02,Alpha,2024,1,11.9,G24293,84.3
TB2-A02,Alpha,2024,2,16.7,G24645,86.9
TB2-A02,Alpha,2024,3,12.4,G24344,84.2
TB2-A02,Alpha,2024,4,8.1,G23305,83.5
TB2-A02,Alpha,2024,5,12.1,G25255,83.4
TB2-A02,Alpha,2024,6,14.3,G20209,77.7
TB2-A02,Alpha,2024,7,20.6,G08643,88.7
TB2-A02,Alpha,2024,8,10.8,G23445,82.8
TB2-A02,Alpha,2024,9,22.2,G22075,88.0
TB2-A02,Alpha,2024,10,10.7,G24726,83.5
TB2-A02,Alpha,2024,11,13.3,G24379,80.0
TB2-A02,Alpha,2024,12,15.4,G23305,79.9
TB2-A02,Alpha,2025,1,17.7,G23305,90.0
TB2-A02,Alpha,2025,2,10.1,G13364,79.0
TB2-A02,Alpha,2025,3,24.5,G22585,88.2
TB2-A02,Alpha,2025,4,15.1,G25102,85.4
TB2-A02,Alpha,2025,5,4.8,G24803,84.8
TB2-A02,Alpha,2025,6,16.3,G22733,81.7
TB2-A02,Alpha,2025,7,7.4,G24645,82.9
TB2-A02,Alpha,2025,8,10.4,G17797,83.3
TB2-A02,Alpha,2025,9,15.4,G23305,78.0
TB2-A02,Alpha,2025,10,18.2,G08859,80.7
TB2-A02,Alpha,2025,11,18.3,G08859,85.3
TB2-A02,Alpha,2025,12,18.6,G10686,85.2
TB2-A02,Alpha,2026,1,26.9,G11957,85.1
TB2-A02,Alpha,2026,2,21.5,G25102,88.0
TB2-A02,Alpha,2026,3,21.0,G24422,83.9
TB2-A02,Alpha,2026,4,15.5,G24344,78.7
TB2-A02,Alpha,2026,5,17.9,G20209,82.5
TB2-A02,Alpha,2026,6,9.8,G24645,82.8
TB2-A03,Alpha,2021,1,18.2,G23305,89.4
TB2-A03,Alpha,2021,2,18.4,G24726,97.8
TB2-A03,Alpha,2021,3,17.9,G22733,87.0
TB2-A03,Alpha,2021,4,13.7,G23673,89.9
TB2-A03,Alpha,2021,5,15.3,G17797,94.9
TB2-A03,Alpha,2021,6,19.0,G22206,86.6
TB2-A03,Alpha,2021,7,7.2,G25102,84.5
TB2-A03,Alpha,2021,8,10.1,G23338,93.0
TB2-A03,Alpha,2021,9,18.4,G24293,93.3
TB2-A03,Alpha,2021,10,10.7,G21944,84.6
TB2-A03,Alpha,2021,11,13.5,G22963,93.8
TB2-A03,Alpha,2021,12,18.7,G11957,91.6
TB2-A03,Alpha,2022,1,14.5,G17797,90.0
TB2-A03,Alpha,2022,2,14.9,G24293,89.3
TB2-A03,Alpha,2022,3,15.9,G19538,90.9
TB2-A03,Alpha,2022,4,14.7,G22249,89.5
TB2-A03,Alpha,2022,5,22.3,G18574,87.9
TB2-A03,Alpha,2022,6,15.7,G24645,87.2
TB2-A03,Alpha,2022,7,28.3,G21944,95.2
TB2-A03,Alpha,2022,8,16.3,G08693,93.3
TB2-A03,Alpha,2022,9,13.3,G20209,86.5
TB2-A03,Alpha,2022,10,16.0,G13364,90.7
TB2-A03,Alpha,2022,11,13.8,G22249,87.8
TB2-A03,Alpha,2022,12,11.2,G22206,86.0
TB2-A03,Alpha,2023,1,23.3,G23445,96.4
TB2-A03,Alpha,2023,2,23.8,G11957,94.4
TB2-A03,Alpha,2023,3,16.4,G22733,83.2
TB2-A03,Alpha,2023,4,11.5,G23253,89.1
TB2-A03,Alpha,2023,5,14.6,G25102,82.9
TB2-A03,Alpha,2023,6,12.8,G23305,86.3
TB2-A03,Alpha,2023,7,20.0,G22769,86.3
TB2-A03,Alpha,2023,8,19.4,G23445,91.2
TB2-A03,Alpha,2023,9,17.8,G15195,85.1
TB2-A03,Alpha,2023,10,14.6,G13364,87.8
TB2-A03,Alpha,2023,11,17.3,G24422,88.8
TB2-A03,Alpha,2023,12,8.4,G24344,82.0
TB2-A03,Alpha,2024,1,23.6,G11223,88.2
TB2-A03,Alpha,2024,2,15.5,G08693,85.5
TB2-A03,Alpha,2024,3,16.5,G11957,90.6
TB2-A03,Alpha,2024,4,21.1,G23673,91.2
TB2-A03,Alpha,2024,5,16.7,G24379,87.0
TB2-A03,Alpha,2024,6,16.4,G23445,84.4
TB2-A03,Alpha,2024,7,25.9,G22249,91.5
TB2-A03,Alpha,2024,8,20.7,G22206,94.6
TB2-A03,Alpha,2024,9,22.5,G23445,90.7
TB2-A03,Alpha,2024,10,21.4,G08859,90.6
TB2-A03,Alpha,2024,11,16.1,G13541,92.3
TB2-A03,Alpha,2024,12,7.5,G23673,87.0
TB2-A03,Alpha,2025,1,16.5,G23305,86.8
TB2-A03,Alpha,2025,2,19.2,G24422,81.7
TB2-A03,Alpha,2025,3,17.8,G23445,82.7
TB2-A03,Alpha,2025,4,24.4,G23995,92.2
TB2-A03,Alpha,2025,5,20.4,G23338,88.6
TB2-A03,Alpha,2025,6,23.6,G24379,85.9
TB2-A03,Alpha,2025,7,19.8,G08859,86.2
TB2-A03,Alpha,2025,8,19.3,G08482,82.8
TB2-A03,Alpha,2025,9,19.0,G23338,85.5
TB2-A03,Alpha,2025,10,16.5,G24803,83.2
TB2-A03,Alpha,2025,11,15.1,G22963,91.4
TB2-A03,Alpha,2025,12,24.9,G22585,96.4
TB2-A03,Alpha,2026,1,21.7,G23305,85.2
TB2-A03,Alpha,2026,2,16.4,G15195,88.1
TB2-A03,Alpha,2026,3,21.9,G24645,84.9
TB2-A03,Alpha,2026,4,19.6,G25102,86.2
TB2-A03,Alpha,2026,5,20.6,G23995,87.0
TB2-A03,Alpha,2026,6,14.4,G24726,77.1
TB2-A04,Alpha,2023,3,15.1,G13541,89.0
TB2-A04,Alpha,2023,4,15.7,G13885,84.8
TB2-A04,Alpha,2023,5,12.1,G24344,87.9
TB2-A04,Alpha,2023,6,13.3,G11957,84.2
TB2-A04,Alpha,2023,7,17.0,G23338,88.9
TB2-A04,Alpha,2023,8,6.4,G21944,88.6
TB2-A04,Alpha,2023,9,8.7,G11223,90.5
TB2-A04,Alpha,2023,10,10.8,G11957,88.7
TB2-A04,Alpha,2023,11,5.5,G11223,88.1
TB2-A04,Alpha,2023,12,4.0,G08693,86.7
TB2-A04,Alpha,2024,1,8.3,G22769,86.4
TB2-A04,Alpha,2024,2,6.3,G22963,77.7
TB2-A04,Alpha,2024,3,17.6,G08859,86.5
TB2-A04,Alpha,2024,4,9.1,G11957,85.7
TB2-A04,Alpha,2024,5,19.9,G24293,85.3
TB2-A04,Alpha,2024,6,10.3,G22733,92.4
TB2-A04,Alpha,2024,7,9.8,G18574,91.5
TB2-A04,Alpha,2024,8,12.7,G20209,87.9
TB2-A04,Alpha,2024,9,11.8,G22249,84.4
TB2-A04,Alpha,2024,10,14.2,G24803,86.8
TB2-A04,Alpha,2024,11,11.9,G23253,76.9
TB2-A04,Alpha,2024,12,10.7,G13541,85.5
TB2-A04,Alpha,2025,1,16.2,G22075,80.9
TB2-A04,Alpha,2025,2,7.9,G08482,89.2
TB2-A04,Alpha,2025,3,11.4,G21587,89.7
TB2-A04,Alpha,2025,4,14.7,G22963,79.5
TB2-A04,Alpha,2025,5,19.4,G24344,84.8
TB2-A04,Alpha,2025,6,20.6,G25276,88.3
TB2-A04,Alpha,2025,7,18.8,G22769,88.2
TB2-A04,Alpha,2025,8,20.8,G10686,88.9
TB2-A04,Alpha,2025,9,10.5,G13364,82.6
TB2-A04,Alpha,2025,10,19.2,G23253,83.7
TB2-A04,Alpha,2025,11,14.5,G24803,85.8
TB2-A04,Alpha,2025,12,12.3,G24422,85.2
TB2-A04,Alpha,2026,1,20.5,G08482,88.7
TB2-A04,Alpha,2026,2,20.7,G13885,86.3
TB2-A04,Alpha,2026,3,16.7,G10686,84.8
TB2-A04,Alpha,2026,4,16.6,G23445,80.5
TB2-A04,Alpha,2026,5,17.7,G25102,86.3
TB2-A04,Alpha,2026,6,9.9,G23253,84.7
TB2-B01,Beta,2023,11,12.7,G24284,89.8
TB2-B01,Beta,2023,12,8.4,G23922,90.7
TB2-B01,Beta,2024,1,13.3,G24879,86.4
TB2-B01,Beta,2024,2,20.6,G24043,91.8
TB2-B01,Beta,2024,3,14.4,G22413,96.2
TB2-B01,Beta,2024,4,7.9,G13609,86.1
TB2-B01,Beta,2024,5,12.5,G21267,84.1
TB2-B01,Beta,2024,6,12.8,G16019,87.0
TB2-B01,Beta,2024,7,12.3,G23763,91.7
TB2-B01,Beta,2024,8,5.6,G13609,84.8
TB2-B01,Beta,2024,9,8.9,G24796,91.1
TB2-B01,Beta,2024,10,15.1,G23945,87.2
TB2-B01,Beta,2024,11,18.9,G22473,95.9
TB2-B01,Beta,2024,12,17.0,G25778,91.3
TB2-B01,Beta,2025,1,19.1,G22635,90.3
TB2-B01,Beta,2025,2,19.2,G24580,85.5
TB2-B01,Beta,2025,3,18.5,G12593,91.7
TB2-B01,Beta,2025,4,14.9,G24580,85.6
TB2-B01,Beta,2025,5,19.0,G24038,86.2
TB2-B01,Beta,2025,6,11.2,G08568,87.1
TB2-B01,Beta,2025,7,7.7,G22473,85.0
TB2-B01,Beta,2025,8,18.6,G25008,87.6
TB2-B01,Beta,2025,9,21.9,G22635,94.1
TB2-B01,Beta,2025,10,22.0,G12425,88.8
TB2-B01,Beta,2025,11,13.3,G13609,87.2
TB2-B01,Beta,2025,12,11.1,G22413,86.4
TB2-B01,Beta,2026,1,11.7,G23226,90.0
TB2-B01,Beta,2026,2,15.3,G24250,85.8
TB2-B01,Beta,2026,3,17.3,G16019,85.5
TB2-B01,Beta,2026,4,15.4,G23763,86.5
TB2-B01,Beta,2026,5,13.8,G23226,85.8
TB2-B01,Beta,2026,6,17.9,G25915,88.4
TB2-B02,Beta,2021,1,8.2,G08568,90.6
TB2-B02,Beta,2021,2,13.3,G22635,91.7
TB2-B02,Beta,2021,3,10.0,G12593,87.0
TB2-B02,Beta,2021,4,11.3,G08568,92.8
TB2-B02,Beta,2021,5,18.1,G08568,88.5
TB2-B02,Beta,2021,6,11.7,G23964,88.6
TB2-B02,Beta,2021,7,9.0,G24250,89.3
TB2-B02,Beta,2021,8,14.5,G25778,94.0
TB2-B02,Beta,2021,9,14.1,G22635,85.0
TB2-B02,Beta,2021,10,8.4,G08002,83.1
TB2-B02,Beta,2021,11,19.9,G24580,94.2
TB2-B02,Beta,2021,12,4.0,G08568,88.7
TB2-B02,Beta,2022,1,13.3,G23922,94.3
TB2-B02,Beta,2022,2,11.0,G08002,82.4
