person_id,english_certified,russian_certified,other_language_certified,other_language_name,nato_training,foreign_course,instructor_certified
AO07216,False,False,False,,False,False,False
AO12605,False,False,False,,False,True,True
AO17018,False,False,False,,False,False,False
G22139,False,True,False,,False,False,False
AO16543,False,False,False,,False,False,False
AO22963,False,True,False,,False,False,False
AO19391,False,True,False,,False,False,False
AO18976,False,True,False,,False,False,True
AO13357,False,True,True,French,False,False,True
AO23290,False,True,True,German,False,False,False
AO16547,False,True,False,,False,False,False
AO13497,False,False,False,,False,False,True
AO17259,True,False,True,Turkish,False,False,False
AO21304,False,False,False,,False,False,True
AO24033,False,True,False,,True,True,False
AO25712,False,True,False,,False,False,False
AO21586,False,True,False,,False,False,False
AO24023,False,True,False,,False,True,False
AO21458,False,False,False,,False,False,False
AO18524,False,True,False,,True,True,False
AO12328,False,False,False,,False,False,False
AO16636,False,False,False,,False,False,False
AO25389,True,False,True,French,True,True,False
AO25228,False,True,False,,False,True,False
AO18688,False,True,False,,False,False,False
AO20164,False,True,False,,False,False,False
AO25328,False,True,False,,False,False,False
AO24416,False,False,False,,False,False,False
AO22646,False,True,False,,False,False,True
AO22701,False,False,False,,False,False,True
AO24250,False,True,False,,False,True,True
AO22585,False,True,False,,False,False,False
AO12461,False,False,False,,False,False,True
AO19336,False,False,False,,False,False,False
AO17172,False,True,False,,True,False,False
AO22921,False,True,False,,False,True,True
AO20473,False,True,False,,True,True,False
AO24361,False,True,False,,False,False,True
AO11628,False,False,False,,False,False,False
AO21607,True,True,False,,False,False,False
AO17445,False,True,False,,True,True,True
AO22937,False,False,False,,False,False,False
AO23491,False,True,False,,False,True,True
AO18742,False,False,False,,False,False,False
AO15635,False,False,False,,False,False,False
G23402,False,False,False,,False,False,False
G19017,False,False,False,,False,False,False
G22746,False,False,False,,False,False,False
G23357,False,True,False,,False,False,False
G18673,False,True,False,,False,False,False
G11740,False,True,False,,False,False,False
G23944,False,True,False,,False,False,False
G22677,False,False,False,,False,False,False
G25596,False,False,False,,False,False,False
G23288,False,True,False,,False,False,False
G25878,False,True,False,,False,False,True
G25956,False,True,False,,False,False,True
G22091,False,True,False,,False,False,False
G18716,False,True,False,,False,False,False
G22153,False,True,False,,False,True,False
G11488,False,False,True,German,False,False,False
G24197,False,False,False,,False,False,False
G17139,False,False,False,,False,False,False
G22314,False,True,False,,False,False,False
G23423,False,True,False,,False,False,True
G13885,False,False,False,,False,False,False
G08643,False,False,False,,False,False,False
G08693,False,False,False,,False,False,False
G23673,False,False,False,,False,False,False
G24293,False,True,False,,False,False,False
G23445,False,False,False,,False,False,False
G21944,False,True,False,,False,False,False
G22075,False,True,False,,False,False,False
G23253,False,False,False,,False,False,False
G22963,False,True,False,,False,False,False
G22206,False,False,False,,False,False,False
G23305,False,False,False,,False,False,False
G24645,True,True,False,,False,False,False
G25276,False,False,False,,False,False,False
G24726,False,False,False,,False,False,False
G22585,False,True,False,,False,True,False
G18574,False,True,False,,False,False,False
G24803,False,True,False,,False,True,False
