age_group,age_range,score,pullups_required,run_minutes_required,is_passing
1,18-25,100,18,13.0,True
1,18-25,90,16,14.0,True
1,18-25,80,14,15.0,True
1,18-25,70,12,16.0,True
1,18-25,60,10,17.0,True
1,18-25,50,8,18.0,False
1,18-25,40,6,19.0,False
1,18-25,30,4,20.0,False
1,18-25,20,2,21.0,False
1,18-25,10,0,22.0,False
2,26-30,100,17,13.5,True
2,26-30,90,15,14.5,True
2,26-30,80,13,15.5,True
2,26-30,70,11,16.5,True
2,26-30,60,9,17.5,True
2,26-30,50,7,18.5,False
2,26-30,40,5,19.5,False
2,26-30,30,3,20.5,False
2,26-30,20,1,21.5,False
2,26-30,10,0,22.5,False
3,31-35,100,16,14.0,True
3,31-35,90,14,15.0,True
3,31-35,80,12,16.0,True
3,31-35,70,10,17.0,True
3,31-35,60,8,18.0,True
3,31-35,50,6,19.0,False
3,31-35,40,4,20.0,False
3,31-35,30,2,21.0,False
3,31-35,20,0,22.0,False
3,31-35,10,0,23.0,False
4,36-40,100,15,14.5,True
4,36-40,90,13,15.5,True
4,36-40,80,11,16.5,True
4,36-40,70,9,17.5,True
4,36-40,60,7,18.5,True
4,36-40,50,5,19.5,False
4,36-40,40,3,20.5,False
4,36-40,30,1,21.5,False
4,36-40,20,0,22.5,False
4,36-40,10,0,23.5,False
5,41+,100,14,15.0,True
5,41+,90,12,16.0,True
5,41+,80,10,17.0,True
5,41+,70,8,18.0,True
5,41+,60,6,19.0,True
5,41+,50,4,20.0,False
5,41+,40,2,21.0,False
5,41+,30,0,22.0,False
5,41+,20,0,23.0,False
5,41+,10,0,24.0,False
