person_id,department,year,month,planned_missions,completed_missions,cancelled_missions,flight_hours_real,flight_hours_training,flight_hours_combat,flight_hours_test,flight_hours_simulator,avg_temperature_c,avg_wind_speed_kmh,dominant_weather,primary_cancellation_reason
AO05709,Delta,2022,5,17,17,0,59.89,24.0,27.57,8.32,5.22,16.5,34.9,Clear,
AO05709,Delta,2022,6,20,20,0,76.56,18.54,35.55,22.47,5.02,29.7,22.1,Clear,
AO05709,Delta,2022,7,9,9,0,30.39,4.55,9.84,16.0,4.19,29.6,42.6,Clear,
AO05709,Delta,2022,8,14,14,0,50.0,13.81,21.59,14.6,5.82,30.3,9.9,Clear,
AO05709,Delta,2022,9,7,7,0,28.0,16.0,8.0,4.0,2.89,15.1,41.5,Rainy,
AO05709,Delta,2022,10,6,6,0,22.17,22.17,0.0,0.0,1.2,15.5,21.7,Cloudy,
AO05709,Delta,2022,11,7,7,0,19.74,6.66,13.08,0.0,0.77,13.8,32.9,Clear,
AO05709,Delta,2022,12,5,5,0,20.0,8.0,8.0,4.0,3.27,2.9,38.0,Cloudy,
AO05709,Delta,2023,1,4,4,0,16.0,12.0,4.0,0.0,6.07,1.9,19.4,Rainy,
AO05709,Delta,2023,2,3,3,0,12.0,4.0,0.0,8.0,0.0,4.7,28.5,Cloudy,
AO05709,Delta,2023,3,5,5,0,17.58,8.0,4.0,5.58,4.1,17.2,11.6,Clear,
AO05709,Delta,2023,4,8,8,0,29.28,18.3,0.0,10.98,3.46,14.2,23.1,Clear,
AO05709,Delta,2023,5,7,7,0,27.740000000000002,16.0,7.74,4.0,0.5,15.4,29.0,Clear,
AO05709,Delta,2023,6,9,9,0,33.78,17.78,8.0,8.0,0.0,29.3,20.2,Clear,
AO05709,Delta,2023,7,12,12,0,43.75,14.39,21.36,8.0,0.39,28.8,29.5,Clear,
AO05709,Delta,2023,8,16,16,0,60.44,21.8,30.64,8.0,4.96,29.4,38.2,Clear,
AO05709,Delta,2023,9,9,9,0,33.18,8.0,20.0,5.18,3.92,14.3,19.6,Cloudy,
AO05709,Delta,2023,10,6,6,0,24.0,12.0,0.0,12.0,0.6,13.4,13.8,Clear,
AO05709,Delta,2023,11,2,2,0,8.0,4.0,4.0,0.0,5.09,16.2,29.2,Clear,
AO05709,Delta,2023,12,1,1,0,4.0,0.0,4.0,0.0,7.93,3.9,23.7,Clear,
AO05709,Delta,2024,1,3,3,0,12.0,8.0,4.0,0.0,4.36,4.6,19.8,Windy,
AO05709,Delta,2024,2,4,4,0,13.21,8.0,2.5,2.71,3.36,1.6,17.1,Cloudy,
AO05709,Delta,2024,3,3,3,0,12.0,0.0,8.0,4.0,3.71,14.7,11.8,Clear,
AO05709,Delta,2024,4,9,9,0,34.35,15.94,10.41,8.0,7.31,16.0,41.5,Clear,
AO05709,Delta,2024,5,7,7,0,22.07,12.85,9.22,0.0,2.89,14.5,30.9,Clear,
AO05709,Delta,2024,6,12,12,0,42.48,17.47,14.46,10.55,4.24,31.1,17.1,Clear,
AO05709,Delta,2024,7,8,8,0,25.15,16.55,4.6,4.0,6.63,30.4,21.8,Clear,
AO05709,Delta,2024,8,7,7,0,26.86,22.86,4.0,0.0,6.76,29.2,9.4,Clear,
AO05709,Delta,2024,9,2,2,0,8.0,0.0,8.0,0.0,7.29,14.1,39.0,Cloudy,
AO05709,Delta,2024,10,3,3,0,12.0,0.0,4.0,8.0,6.07,13.7,12.0,Cloudy,
AO05709,Delta,2024,11,3,3,0,7.82,0.0,0.4,7.42,8.29,14.5,37.0,Cloudy,
AO05709,Delta,2024,12,1,1,0,0.41,0.0,0.0,0.41,1.16,4.4,37.3,Clear,
AO05709,Delta,2025,1,1,1,0,4.0,0.0,4.0,0.0,7.44,2.8,14.9,Windy,
AO05709,Delta,2025,2,2,2,0,8.0,4.0,0.0,4.0,0.0,2.2,5.8,Rainy,
AO05709,Delta,2025,3,3,3,0,11.02,4.0,0.0,7.02,6.02,14.4,14.3,Clear,
AO05709,Delta,2025,4,5,5,0,20.0,8.0,4.0,8.0,2.71,16.7,42.7,Clear,
AO05709,Delta,2025,5,3,3,0,8.58,4.0,4.58,0.0,2.18,15.5,26.9,Clear,
AO05709,Delta,2025,6,3,3,0,12.0,4.0,4.0,4.0,1.94,30.8,23.5,Clear,
AO05709,Delta,2025,7,2,2,0,8.0,4.0,4.0,0.0,4.93,30.1,32.3,Clear,
AO05709,Delta,2025,8,6,6,0,22.21,18.21,0.0,4.0,3.87,30.5,12.0,Clear,
AO05709,Delta,2025,9,3,3,0,12.0,8.0,0.0,4.0,0.0,14.0,8.7,Cloudy,
AO05709,Delta,2025,10,2,2,0,8.0,0.0,4.0,4.0,1.71,15.0,17.6,Windy,
AO05709,Delta,2025,11,2,2,0,5.14,4.0,0.0,1.14,4.57,12.1,38.7,Clear,
AO05709,Delta,2025,12,3,3,0,9.08,2.21,6.87,0.0,4.64,2.5,44.1,Windy,
AO05709,Delta,2026,1,3,3,0,12.0,4.0,8.0,0.0,3.47,2.4,7.8,Cloudy,
AO05709,Delta,2026,3,3,3,0,12.0,4.0,4.0,4.0,1.93,15.9,29.5,Clear,
AO05709,Delta,2026,4,1,1,0,4.0,4.0,0.0,0.0,2.97,16.2,29.8,Cloudy,
AO05709,Delta,2026,5,6,6,0,24.0,4.0,8.0,12.0,3.45,16.5,25.4,Clear,
