incident_id,mission_id,person_id,department,incident_date,incident_type,cause,severity_score,investigation_outcome
INC0001,MSN00069,AO12461,Alpha,2021-05-11,Technical Fault (no loss),Mechanical Failure,3,Corrective Action Taken
INC0002,MSN00105,AO20164,Alpha,2021-07-25,Technical Fault (no loss),Mechanical Failure,3,Corrective Action Taken
INC0003,MSN00129,AO19336,Alpha,2021-08-06,Technical Fault (no loss),Mechanical Failure,1,Corrective Action Taken
INC0004,MSN00258,AO22921,Alpha,2022-05-11,Technical Fault (no loss),Unknown,3,Under Investigation
INC0005,MSN00433,AO15635,Alpha,2023-03-27,Technical Fault (no loss),Mechanical Failure,1,Corrective Action Taken
INC0006,MSN00534,AO22921,Alpha,2023-08-05,Minor Incident,Weather,3,No Fault Found
INC0007,MSN00604,AO22646,Alpha,2023-12-23,Technical Fault (no loss),Mechanical Failure,2,Corrective Action Taken
INC0008,MSN00638,AO15635,Alpha,2024-04-25,Technical Fault (no loss),Mechanical Failure,1,Corrective Action Taken
INC0009,MSN00823,AO17445,Alpha,2025-03-17,UAV Loss,Enemy Action,10,No Fault Found
INC0010,MSN00826,AO15635,Alpha,2025-03-02,Technical Fault (no loss),Mechanical Failure,2,Corrective Action Taken
INC0011,MSN00853,AO23491,Alpha,2025-05-21,Technical Fault (no loss),Mechanical Failure,2,Corrective Action Taken
INC0012,MSN00873,AO24361,Alpha,2025-06-27,Minor Incident,Mechanical Failure,4,Corrective Action Taken
INC0013,MSN01013,AO22646,Alpha,2026-01-13,Minor Incident,Human Error,5,Pilot Error
INC0014,MSN01115,AO18592,Beta,2021-02-19,Technical Fault (no loss),Mechanical Failure,3,Corrective Action Taken
INC0015,MSN01167,AO18592,Beta,2021-05-02,Technical Fault (no loss),Mechanical Failure,2,Corrective Action Taken
INC0016,MSN01246,AO18592,Beta,2021-09-13,Minor Incident,Weather,2,No Fault Found
INC0017,MSN01363,AO19316,Beta,2022-06-20,Minor Incident,Human Error,4,Pilot Error
INC0018,MSN01383,AO14299,Beta,2022-07-28,Technical Fault (no loss),Mechanical Failure,2,Corrective Action Taken
INC0019,MSN01649,AO19316,Beta,2023-11-06,Technical Fault (no loss),Mechanical Failure,2,Corrective Action Taken
INC0020,MSN01747,AO23051,Beta,2024-06-24,Technical Fault (no loss),Unknown,1,Under Investigation
INC0021,MSN01856,AO14299,Beta,2025-01-06,Minor Incident,Mechanical Failure,5,Corrective Action Taken
INC0022,MSN02145,AO24602,Beta,2026-06-16,Technical Fault (no loss),Mechanical Failure,1,Corrective Action Taken
INC0023,MSN02164,AO16360,Delta,2021-04-16,Technical Fault (no loss),Mechanical Failure,3,Corrective Action Taken
INC0024,MSN02242,AO16242,Delta,2021-07-07,Technical Fault (no loss),Mechanical Failure,3,Corrective Action Taken
INC0025,MSN02272,AO16242,Delta,2021-08-20,Technical Fault (no loss),Mechanical Failure,2,Corrective Action Taken
INC0026,MSN02361,AO16360,Delta,2022-03-18,UAV Loss,Weather,10,No Fault Found
INC0027,MSN02450,AO21091,Delta,2022-08-15,Minor Incident,Weather,5,No Fault Found
INC0028,MSN02494,AO16360,Delta,2022-10-17,Minor Incident,Weather,2,No Fault Found
INC0029,MSN02600,AO17682,Delta,2023-05-08,Major Accident,Mechanical Failure,6,Corrective Action Taken
INC0030,MSN02612,AO16360,Delta,2023-06-14,Minor Incident,Human Error,2,Pilot Error
INC0031,MSN02677,AO18046,Delta,2023-08-05,Minor Incident,Human Error,2,Pilot Error
