department,year,total_flight_hours_real,total_flight_hours_simulator,primary_uav_model,avg_technical_condition_score,fuel_burn_rate_l_per_hour,total_fuel_liters,estimated_flying_days
Alpha,2021,3313.0,480.9,Bayraktar TB2,93.1,14.72,48767.2,195
Alpha,2022,3025.9,1061.4,Bayraktar TB2,93.8,14.66,44359.8,179
Alpha,2023,3097.2,1476.5,Bayraktar TB2,91.8,14.84,45962.4,183
Alpha,2024,3047.0,2172.3,Bayraktar TB2,92.4,14.79,45064.7,182
Alpha,2025,3336.1,2736.8,Bayraktar TB2,89.2,15.07,50275.0,194
Alpha,2026,1421.6,1297.7,Bayraktar TB2,85.2,15.43,21935.4,84
Beta,2021,3048.7,294.2,Bayraktar TB2,90.9,14.92,45487.1,180
Beta,2022,3006.1,787.1,Bayraktar TB2,87.4,15.24,45813.1,178
Beta,2023,3082.2,1424.7,Bayraktar TB2,91.2,14.89,45893.5,182
Beta,2024,2883.5,2046.7,Bayraktar TB2,92.8,14.75,42531.3,168
Beta,2025,2859.2,2783.1,Bayraktar TB2,90.0,15.0,42887.7,168
Beta,2026,1663.5,1455.6,Bayraktar TB2,90.8,14.93,24835.9,100
Delta,2021,2886.0,348.2,Bayraktar TB2,83.6,15.58,44964.2,170
Delta,2022,3219.4,851.5,Bayraktar TB2,90.4,14.96,48162.1,189
Delta,2023,3363.7,1388.7,Bayraktar TB2,82.7,15.65,52642.5,196
Delta,2024,3140.6,2201.0,Bayraktar TB2,86.5,15.31,48082.0,186
Delta,2025,3139.7,2723.7,Bayraktar TB2,85.0,15.45,48508.7,185
Delta,2026,1676.3,1410.1,Bayraktar TB2,88.1,15.17,25429.5,99
Gamma,2021,2081.7,349.8,Bayraktar TB2,91.6,14.85,30912.8,121
Gamma,2022,3162.3,1000.5,Bayraktar TB2,87.4,15.24,48193.5,188
Gamma,2023,3137.2,1340.6,Bayraktar TB2,90.2,14.98,46995.9,185
Gamma,2024,2833.6,2075.1,Bayraktar TB2,87.8,15.2,43070.9,168
Gamma,2025,3842.8,2896.2,Bayraktar TB2,90.1,14.99,57604.0,229
Gamma,2026,1440.6,1347.4,Bayraktar TB2,93.0,14.73,21219.7,84
Sigma,2021,2963.6,700.9,Bayraktar TB2,81.4,15.78,46765.9,175
Sigma,2022,2785.7,1216.7,Bayraktar TB2,91.0,14.91,41535.2,165
Sigma,2023,3375.7,1808.5,Bayraktar TB2,84.5,15.49,52290.1,198
Sigma,2024,3193.4,2222.0,Bayraktar TB2,88.0,15.18,48475.8,186
Sigma,2025,3641.4,2989.3,Bayraktar TB2,92.7,14.75,53710.8,213
Sigma,2026,1735.3,1442.2,Bayraktar TB2,81.0,15.81,27434.9,102
