medal_id,person_id,department,medal_type,award_date,reason
M0001,AO12605,Alpha,Meritorious Service Medal,2023-02-08,Sustained high standard of duty performance
M0002,AO12605,Alpha,International Cooperation Medal,2026-05-29,Contribution to joint/NATO training exercises
M0003,AO17018,Alpha,Meritorious Service Medal,2022-10-25,Sustained high standard of duty performance
M0004,AO17018,Alpha,Unit Commendation,2024-02-10,Contribution to unit-level achievement
M0005,G22139,Alpha,Years of Service Medal,2022-10-06,Long and continuous military service
M0006,G22139,Alpha,Presidential Commendation,2022-09-26,Distinguished service recognized at command level
M0007,G22139,Alpha,Unit Commendation,2024-01-13,Contribution to unit-level achievement
M0008,G22139,Alpha,Distinguished Marksmanship Medal,2025-01-13,Recognized shooting proficiency
M0009,AO16543,Alpha,Presidential Commendation,2021-04-15,Distinguished service recognized at command level
M0010,AO16543,Alpha,Presidential Commendation,2024-02-05,Distinguished service recognized at command level
M0011,AO22963,Alpha,Years of Service Medal,2023-04-14,Long and continuous military service
M0012,AO22963,Alpha,Unit Commendation,2025-06-08,Contribution to unit-level achievement
M0013,AO22963,Alpha,Operational Excellence Medal,2025-04-09,Exceptional performance during operational missions
M0014,AO19391,Alpha,Operational Excellence Medal,2024-12-22,Exceptional performance during operational missions
M0015,AO19391,Alpha,Meritorious Service Medal,2024-07-20,Sustained high standard of duty performance
M0016,AO19391,Alpha,Presidential Commendation,2024-03-29,Distinguished service recognized at command level
M0017,AO18976,Alpha,Meritorious Service Medal,2025-02-13,Sustained high standard of duty performance
M0018,AO13357,Alpha,Presidential Commendation,2024-01-24,Distinguished service recognized at command level
M0019,AO13357,Alpha,Operational Excellence Medal,2026-04-14,Exceptional performance during operational missions
M0020,AO13357,Alpha,Operational Excellence Medal,2023-06-17,Exceptional performance during operational missions
M0021,AO13357,Alpha,Presidential Commendation,2024-03-10,Distinguished service recognized at command level
M0022,AO13357,Alpha,Years of Service Medal,2025-06-07,Long and continuous military service
M0023,AO13357,Alpha,Meritorious Service Medal,2025-08-30,Sustained high standard of duty performance
M0024,AO23290,Alpha,International Cooperation Medal,2025-09-25,Contribution to joint/NATO training exercises
M0025,AO13497,Alpha,Years of Service Medal,2025-11-06,Long and continuous military service
M0026,AO13497,Alpha,Distinguished Marksmanship Medal,2026-01-18,Recognized shooting proficiency
M0027,AO21304,Alpha,Unit Commendation,2026-03-08,Contribution to unit-level achievement
M0028,AO21304,Alpha,Meritorious Service Medal,2024-03-29,Sustained high standard of duty performance
M0029,AO24033,Alpha,Operational Excellence Medal,2026-06-06,Exceptional performance during operational missions
M0030,AO24033,Alpha,Years of Service Medal,2026-05-29,Long and continuous military service
M0031,AO24033,Alpha,Operational Excellence Medal,2025-04-17,Exceptional performance during operational missions
M0032,AO25712,Alpha,International Cooperation Medal,2025-08-09,Contribution to joint/NATO training exercises
M0033,AO25712,Alpha,Operational Excellence Medal,2025-08-26,Exceptional performance during operational missions
M0034,AO25712,Alpha,Years of Service Medal,2025-11-27,Long and continuous military service
M0035,AO25712,Alpha,Years of Service Medal,2025-12-24,Long and continuous military service
M0036,AO21586,Alpha,Presidential Commendation,2025-09-14,Distinguished service recognized at command level
M0037,AO21586,Alpha,International Cooperation Medal,2026-01-17,Contribution to joint/NATO training exercises
M0038,AO24023,Alpha,International Cooperation Medal,2025-09-20,Contribution to joint/NATO training exercises
M0039,AO24023,Alpha,Unit Commendation,2025-01-10,Contribution to unit-level achievement
M0040,AO24023,Alpha,Years of Service Medal,2025-05-20,Long and continuous military service
M0041,AO24023,Alpha,Meritorious Service Medal,2025-07-11,Sustained high standard of duty performance
M0042,AO21458,Alpha,Meritorious Service Medal,2026-05-30,Sustained high standard of duty performance
M0043,AO21458,Alpha,Unit Commendation,2024-11-12,Contribution to unit-level achievement
M0044,AO18524,Alpha,Meritorious Service Medal,2023-02-04,Sustained high standard of duty performance
M0045,AO18524,Alpha,Presidential Commendation,2024-11-22,Distinguished service recognized at command level
M0046,AO18524,Alpha,Presidential Commendation,2023-02-14,Distinguished service recognized at command level
M0047,AO12328,Alpha,International Cooperation Medal,2023-12-22,Contribution to joint/NATO training exercises
