mission_id,department,year,month,mission_date,planned_duration_hours,status,cancellation_reason,dominant_weather,avg_temperature_c,person_id,role_on_mission,shift_hours,hours_category
MSN00001,Alpha,2021,1,2021-01-14,15.5,Completed,,Cloudy,5.0,AO12461,Pilot,15.5,Training
MSN00001,Alpha,2021,1,2021-01-14,15.5,Completed,,Cloudy,5.0,G19017,Operator,4.0,Training
MSN00001,Alpha,2021,1,2021-01-14,15.5,Completed,,Cloudy,5.0,G19017,Operator,4.0,Training
MSN00001,Alpha,2021,1,2021-01-14,15.5,Completed,,Cloudy,5.0,G11488,Operator,4.0,Training
MSN00001,Alpha,2021,1,2021-01-14,15.5,Completed,,Cloudy,5.0,G11488,Operator,3.5,Training
MSN00001,Alpha,2021,1,2021-01-14,15.5,Completed,,Cloudy,5.0,AO21304,Mission Commander,4.0,Training
MSN00001,Alpha,2021,1,2021-01-14,15.5,Completed,,Cloudy,5.0,AO21304,Mission Commander,4.0,Training
MSN00001,Alpha,2021,1,2021-01-14,15.5,Completed,,Cloudy,5.0,AO21304,Mission Commander,4.0,Training
MSN00001,Alpha,2021,1,2021-01-14,15.5,Completed,,Cloudy,5.0,AO21304,Mission Commander,3.5,Training
MSN00002,Alpha,2021,1,2021-01-19,18.67,Cancelled,Weather,Clear,-0.4,,,0.0,
MSN00003,Alpha,2021,1,2021-01-13,19.12,Completed,,Stormy,4.7,AO12461,Pilot,19.12,Training
MSN00003,Alpha,2021,1,2021-01-13,19.12,Completed,,Stormy,4.7,G11488,Operator,4.0,Training
MSN00003,Alpha,2021,1,2021-01-13,19.12,Completed,,Stormy,4.7,G19017,Operator,4.0,Training
MSN00003,Alpha,2021,1,2021-01-13,19.12,Completed,,Stormy,4.7,G11488,Operator,4.0,Training
MSN00003,Alpha,2021,1,2021-01-13,19.12,Completed,,Stormy,4.7,G19017,Operator,4.0,Training
MSN00003,Alpha,2021,1,2021-01-13,19.12,Completed,,Stormy,4.7,G19017,Operator,3.12,Training
MSN00003,Alpha,2021,1,2021-01-13,19.12,Completed,,Stormy,4.7,AO21304,Mission Commander,4.0,Training
MSN00003,Alpha,2021,1,2021-01-13,19.12,Completed,,Stormy,4.7,AO21304,Mission Commander,4.0,Training
MSN00003,Alpha,2021,1,2021-01-13,19.12,Completed,,Stormy,4.7,AO21304,Mission Commander,4.0,Training
MSN00003,Alpha,2021,1,2021-01-13,19.12,Completed,,Stormy,4.7,AO21304,Mission Commander,4.0,Training
