mission_id,aircraft_id,department,year,month,mission_date,aircraft_age_years,planned_duration_hours,actual_duration_hours,hours_returned_early,pre_flight_check_minutes,pre_flight_issue_found,post_flight_check_minutes,had_inflight_technical_problem,problem_type,problem_duration_minutes,effective_condition_score
MSN00001,TB2-A03,Alpha,2021,1,2021-01-14,1,15.5,15.5,0.0,76.7,False,80.7,False,,0.0,89.4
MSN00003,TB2-A03,Alpha,2021,1,2021-01-13,1,19.12,19.12,0.0,97.6,False,90.5,False,,0.0,89.4
MSN00005,TB2-A03,Alpha,2021,1,2021-01-02,1,17.7,17.7,0.0,57.7,False,76.0,False,,0.0,89.4
MSN00006,TB2-A03,Alpha,2021,1,2021-01-25,1,16.82,16.82,0.0,128.3,True,77.2,False,,0.0,89.4
MSN00007,TB2-A03,Alpha,2021,1,2021-01-24,1,17.1,17.1,0.0,77.2,False,49.3,False,,0.0,89.4
MSN00008,TB2-A03,Alpha,2021,1,2021-01-05,1,17.81,17.81,0.0,64.8,False,53.0,False,,0.0,89.4
MSN00010,TB2-A03,Alpha,2021,1,2021-01-18,1,17.06,17.06,0.0,89.0,False,75.6,False,,0.0,89.4
MSN00011,TB2-A03,Alpha,2021,1,2021-01-27,1,17.01,17.01,0.0,82.2,False,76.1,False,,0.0,89.4
MSN00012,TB2-A03,Alpha,2021,1,2021-01-05,1,16.6,16.6,0.0,67.1,False,59.5,False,,0.0,89.4
MSN00013,TB2-A03,Alpha,2021,1,2021-01-09,1,17.5,17.5,0.0,84.0,False,59.2,False,,0.0,89.4
MSN00014,TB2-A03,Alpha,2021,1,2021-01-27,1,11.85,10.99,0.86,80.1,False,64.5,True,Communication Link,51.6,89.4
MSN00015,TB2-A03,Alpha,2021,2,2021-02-26,1,19.41,19.41,0.0,58.9,False,71.9,False,,0.0,97.8
MSN00016,TB2-A03,Alpha,2021,2,2021-02-18,1,20.0,20.0,0.0,81.6,False,59.3,False,,0.0,97.8
MSN00017,TB2-A03,Alpha,2021,2,2021-02-15,1,13.72,13.72,0.0,51.4,False,68.5,False,,0.0,97.8
MSN00018,TB2-A03,Alpha,2021,2,2021-02-24,1,18.48,17.29,1.19,76.8,False,69.3,True,Control Surface,71.4,97.8
MSN00019,TB2-A03,Alpha,2021,2,2021-02-09,1,15.27,15.27,0.0,54.6,False,83.6,False,,0.0,97.8
MSN00021,TB2-A03,Alpha,2021,2,2021-02-13,1,17.21,17.21,0.0,60.4,False,70.7,False,,0.0,97.8
MSN00022,TB2-A03,Alpha,2021,2,2021-02-22,1,18.83,18.83,0.0,70.3,False,77.3,False,,0.0,97.8
MSN00023,TB2-A03,Alpha,2021,2,2021-02-01,1,18.64,18.64,0.0,75.4,False,56.5,False,,0.0,97.8
MSN00024,TB2-A03,Alpha,2021,3,2021-03-13,1,15.91,15.91,0.0,73.7,False,91.9,False,,0.0,87.0
MSN00026,TB2-A03,Alpha,2021,3,2021-03-27,1,18.44,18.44,0.0,80.5,False,71.8,True,Communication Link,34.3,87.0
MSN00028,TB2-A03,Alpha,2021,3,2021-03-27,1,16.73,7.14,9.59,67.4,False,82.2,True,Sensor/Payload,575.4,87.0
MSN00029,TB2-A03,Alpha,2021,3,2021-03-06,1,18.73,18.73,0.0,70.6,False,43.7,False,,0.0,87.0
MSN00030,TB2-A03,Alpha,2021,3,2021-03-26,1,16.72,16.72,0.0,76.1,False,77.9,False,,0.0,87.0
MSN00031,TB2-A03,Alpha,2021,3,2021-03-23,1,20.0,20.0,0.0,80.7,False,70.9,False,,0.0,87.0
MSN00033,TB2-A03,Alpha,2021,3,2021-03-04,1,17.07,15.93,1.14,70.1,False,60.2,True,Communication Link,68.4,87.0
