person_id,year,age_group,pullups_count,run_3km_minutes,pullup_score,run_score,fitness_score,result
AO07216,2024,4,4,14.63,34.0,98.7,66.4,Pass
AO07216,2025,5,6,12.35,48.6,100.0,74.3,Pass
AO07216,2026,5,12,13.94,87.1,100.0,93.6,Pass
AO12605,2021,2,8,15.91,52.4,75.9,64.2,Pass
AO12605,2022,2,7,12.08,47.1,100.0,73.6,Pass
AO12605,2023,3,11,15.58,71.9,84.2,78.1,Pass
AO12605,2024,3,13,13.66,83.1,100.0,91.6,Pass
AO12605,2025,3,8,16.76,55.0,72.4,63.7,Pass
AO12605,2026,3,21,15.78,100.0,82.2,91.1,Pass
AO17018,2021,1,13,14.99,75.0,80.1,77.6,Pass
AO17018,2022,2,11,14.04,68.2,94.6,81.4,Pass
AO17018,2023,2,11,13.54,68.2,99.6,83.9,Pass
AO17018,2024,2,13,14.26,78.8,92.4,85.6,Pass
AO17018,2025,2,12,16.54,73.5,69.6,71.6,Pass
AO17018,2026,2,12,14.9,73.5,86.0,79.8,Pass
G22139,2021,1,19,16.19,100.0,68.1,84.1,Pass
G22139,2022,1,12,14.8,70.0,82.0,76.0,Pass
G22139,2023,1,18,14.59,100.0,84.1,92.1,Pass
G22139,2024,1,16,16.19,90.0,68.1,79.1,Pass
G22139,2025,1,15,14.57,85.0,84.3,84.7,Pass
G22139,2026,1,16,15.14,90.0,78.6,84.3,Pass
AO16543,2021,2,15,11.39,89.4,100.0,94.7,Pass
AO16543,2022,2,7,13.45,47.1,100.0,73.6,Pass
AO16543,2023,2,11,14.41,68.2,90.9,79.6,Pass
AO16543,2024,3,14,11.93,88.8,100.0,94.4,Pass
AO16543,2025,3,10,13.74,66.2,100.0,83.1,Pass
AO16543,2026,3,21,11.41,100.0,100.0,100.0,Pass
AO22963,2021,1,14,14.24,80.0,87.6,83.8,Pass
AO22963,2022,1,17,13.48,95.0,95.2,95.1,Pass
AO22963,2023,1,14,13.85,80.0,91.5,85.8,Pass
AO22963,2024,1,14,13.45,80.0,95.5,87.8,Pass
AO22963,2025,2,16,11.89,94.7,100.0,97.4,Pass
AO22963,2026,2,13,15.17,78.8,83.3,81.1,Pass
AO19391,2023,2,13,13.46,78.8,100.0,89.4,Pass
AO19391,2024,2,10,13.37,62.9,100.0,81.5,Pass
AO19391,2025,2,13,14.2,78.8,93.0,85.9,Pass
AO19391,2026,2,15,14.59,89.4,89.1,89.3,Pass
AO18976,2023,2,17,12.87,100.0,100.0,100.0,Pass
AO18976,2024,2,19,15.54,100.0,79.6,89.8,Pass
AO18976,2025,2,15,11.26,89.4,100.0,94.7,Pass
AO18976,2026,2,16,10.0,94.7,100.0,97.4,Pass
AO13357,2021,3,11,9.0,71.9,100.0,86.0,Pass
AO13357,2022,3,10,14.76,66.2,92.4,79.3,Pass
AO13357,2023,3,10,13.19,66.2,100.0,83.1,Pass
AO13357,2024,3,10,10.09,66.2,100.0,83.1,Pass
AO13357,2025,3,11,13.05,71.9,100.0,86.0,Pass
AO13357,2026,4,13,16.81,88.0,76.9,82.5,Pass
AO23290,2023,1,17,10.91,95.0,100.0,97.5,Pass
AO23290,2024,1,9,13.01,55.0,99.9,77.5,Pass
AO23290,2025,1,15,12.14,85.0,100.0,92.5,Pass
AO23290,2026,1,11,13.08,65.0,99.2,82.1,Pass
AO16547,2024,2,7,13.61,47.1,98.9,73.0,Pass
AO16547,2025,3,8,13.49,55.0,100.0,77.5,Pass
AO16547,2026,3,8,14.27,55.0,97.3,76.2,Pass
AO13497,2021,3,8,10.29,55.0,100.0,77.5,Pass
AO13497,2022,3,9,15.55,60.6,84.5,72.6,Pass
AO13497,2023,3,10,12.15,66.2,100.0,83.1,Pass
AO13497,2024,3,11,15.56,71.9,84.4,78.2,Pass
AO13497,2025,3,5,11.67,38.1,100.0,69.1,Pass
AO13497,2026,4,7,12.36,52.0,100.0,76.0,Pass
AO17259,2021,2,14,12.02,84.1,100.0,92.1,Pass
AO17259,2022,2,11,15.0,68.2,85.0,76.6,Pass
AO17259,2023,2,11,14.31,68.2,91.9,80.1,Pass
AO17259,2024,2,6,12.94,41.8,100.0,70.9,Pass
AO17259,2025,3,5,12.3,38.1,100.0,69.1,Pass
AO17259,2026,3,5,13.76,38.1,100.0,69.1,Pass
AO21304,2021,1,12,14.08,70.0,89.2,79.6,Pass
AO21304,2022,1,18,17.34,100.0,56.6,78.3,Pass
AO21304,2023,1,14,10.88,80.0,100.0,90.0,Pass
AO21304,2024,1,18,13.15,100.0,98.5,99.3,Pass
AO21304,2025,2,17,11.45,100.0,100.0,100.0,Pass
