person_id,previous_branch,years_in_previous_branch
AO07216,Ground Forces,17.36
AO12605,"Internal Promotion (Former UAV Operator, this unit)",1.58
AO17018,Artillery,3.19
G22139,Civilian Sector (Direct Entry),0.0
AO16543,Ground Forces,4.14
AO22963,Civilian Sector (Direct Entry),0.0
AO19391,Navy,4.39
AO18976,Artillery,5.8
AO13357,Reconnaissance,8.47
AO23290,Civilian Sector (Direct Entry),0.0
AO16547,Navy,7.95
AO13497,Special Forces,9.05
AO17259,Ground Forces,5.23
AO21304,Civilian Sector (Direct Entry),0.0
AO24033,Civilian Sector (Direct Entry),0.0
AO25712,Civilian Sector (Direct Entry),0.0
AO21586,"Internal Promotion (Former UAV Operator, this unit)",3.73
AO24023,Civilian Sector (Direct Entry),0.0
AO21458,Navy,2.74
AO18524,Air Force,3.95
AO12328,Communications & Engineering Troops,9.56
AO16636,Special Forces,5.65
AO25389,Civilian Sector (Direct Entry),0.0
AO25228,Civilian Sector (Direct Entry),0.0
AO18688,Reconnaissance,6.76
AO20164,Civilian Sector (Direct Entry),0.0
AO25328,"Internal Promotion (Former UAV Operator, this unit)",1.0
AO24416,Civilian Sector (Direct Entry),0.0
AO22646,Civilian Sector (Direct Entry),0.0
AO22701,Navy,1.6
AO24250,Civilian Sector (Direct Entry),0.0
AO22585,Civilian Sector (Direct Entry),0.0
AO12461,"Internal Promotion (Former UAV Operator, this unit)",2.09
AO19336,Ground Forces,1.32
AO17172,Communications & Engineering Troops,6.96
AO22921,Civilian Sector (Direct Entry),0.0
AO20473,Communications & Engineering Troops,1.68
AO24361,Civilian Sector (Direct Entry),0.0
AO11628,Air Force,10.74
AO21607,Ground Forces,1.03
AO17445,Special Forces,7.52
AO22937,Special Forces,2.86
AO23491,"Internal Promotion (Former UAV Operator, this unit)",1.73
AO18742,Reconnaissance,5.23
AO15635,Artillery,5.58
G23402,Special Forces,1.59
G19017,Artillery,1.02
G22746,Air Force,2.28
G23357,Civilian Sector (Direct Entry),0.0
G18673,Ground Forces,5.02
G11740,Ground Forces,10.72
G23944,Civilian Sector (Direct Entry),0.0
G22677,Border Service,1.27
G25596,Civilian Sector (Direct Entry),0.0
G23288,Civilian Sector (Direct Entry),0.0
G25878,Civilian Sector (Direct Entry),0.0
G25956,Civilian Sector (Direct Entry),0.0
G22091,Communications & Engineering Troops,2.58
G18716,Ground Forces,3.49
G22153,Civilian Sector (Direct Entry),0.0
G11488,Communications & Engineering Troops,9.23
G24197,Civilian Sector (Direct Entry),0.0
G17139,Special Forces,6.5
G22314,Civilian Sector (Direct Entry),0.0
G23423,Civilian Sector (Direct Entry),0.0
G13885,Ground Forces,10.53
G08643,Communications & Engineering Troops,13.02
G08693,Artillery,16.06
G23673,Border Service,0.51
G24293,Civilian Sector (Direct Entry),0.0
G23445,Civilian Sector (Direct Entry),0.0
G21944,Civilian Sector (Direct Entry),0.0
G22075,Civilian Sector (Direct Entry),0.0
G23253,Civilian Sector (Direct Entry),0.0
G22963,Civilian Sector (Direct Entry),0.0
G22206,Civilian Sector (Direct Entry),0.0
G23305,Civilian Sector (Direct Entry),0.0
G24645,Civilian Sector (Direct Entry),0.0
G25276,Civilian Sector (Direct Entry),0.0
G24726,Artillery,0.77
G22585,Civilian Sector (Direct Entry),0.0
G18574,Ground Forces,2.47
G24803,Civilian Sector (Direct Entry),0.0
G24422,Civilian Sector (Direct Entry),0.0
G24379,Civilian Sector (Direct Entry),0.0
G20209,Civilian Sector (Direct Entry),0.0
G23995,Artillery,0.54
G15195,Reconnaissance,6.47
G10686,Communications & Engineering Troops,13.01
G11957,Air Force,13.42
G17797,Special Forces,8.43
G19538,Artillery,5.91
G24344,Civilian Sector (Direct Entry),0.0
G22249,Ground Forces,1.39
G22769,Communications & Engineering Troops,0.85
G08859,Reconnaissance,12.46
G22733,Ground Forces,2.28
G11223,Artillery,10.39
G13364,Air Force,11.46
G25102,Civilian Sector (Direct Entry),0.0
G13541,Ground Forces,11.67
G23338,Civilian Sector (Direct Entry),0.0
G21587,Civilian Sector (Direct Entry),0.0
G08482,Artillery,12.58
G25255,Civilian Sector (Direct Entry),0.0
AO97199,Border Service,22.83
AO16486,Special Forces,6.65
AO12560,Ground Forces,10.43
G15848,Special Forces,8.96
AO13826,Reconnaissance,7.9
AO21460,Border Service,1.28
AO18804,Artillery,6.11
AO17999,Ground Forces,7.97
AO21945,Border Service,1.74
AO22715,Civilian Sector (Direct Entry),0.0
AO16664,Artillery,7.88
