person_id,transferred_from_other_branch,rank_delayed,delay_years,department,rank
AO07216,True,True,2.0,Alpha,Lieutenant Colonel
AO12605,False,,,Alpha,Major
AO17018,True,True,2.6,Alpha,Captain
G22139,False,,,Alpha,Warrant Officer
AO16543,True,True,2.1,Alpha,Captain
AO22963,False,,,Alpha,Senior Lieutenant
AO19391,True,False,0.0,Alpha,Captain
AO18976,True,False,0.0,Alpha,Captain
AO13357,True,False,0.0,Alpha,Major
AO23290,False,,,Alpha,Lieutenant
AO16547,True,False,0.0,Alpha,Captain
AO13497,True,False,0.0,Alpha,Major
AO17259,True,False,0.0,Alpha,Captain
AO21304,False,,,Alpha,Senior Lieutenant
AO24033,False,,,Alpha,Lieutenant
AO25712,False,,,Alpha,Lieutenant
AO21586,False,,,Alpha,Senior Lieutenant
AO24023,False,,,Alpha,Lieutenant
AO21458,True,False,0.0,Alpha,Senior Lieutenant
AO18524,True,False,0.0,Alpha,Captain
AO12328,True,False,0.0,Alpha,Major
AO16636,True,False,0.0,Alpha,Captain
AO25389,False,,,Alpha,Lieutenant
AO25228,False,,,Alpha,Lieutenant
AO18688,True,False,0.0,Alpha,Captain
AO20164,False,,,Alpha,Senior Lieutenant
AO25328,False,,,Alpha,Lieutenant
AO24416,False,,,Alpha,Lieutenant
AO22646,False,,,Alpha,Senior Lieutenant
AO22701,True,False,0.0,Alpha,Senior Lieutenant
AO24250,False,,,Alpha,Lieutenant
AO22585,False,,,Alpha,Senior Lieutenant
AO12461,False,,,Alpha,Major
AO19336,True,True,1.5,Alpha,Captain
AO17172,True,False,0.0,Alpha,Captain
AO22921,False,,,Alpha,Senior Lieutenant
AO20473,True,False,0.0,Alpha,Senior Lieutenant
AO24361,False,,,Alpha,Lieutenant
AO11628,True,True,2.2,Alpha,Major
AO21607,True,False,0.0,Alpha,Senior Lieutenant
AO17445,True,False,0.0,Alpha,Captain
AO22937,True,False,0.0,Alpha,Senior Lieutenant
AO23491,False,,,Alpha,Lieutenant
AO18742,True,False,0.0,Alpha,Captain
AO15635,True,True,2.5,Alpha,Captain
G23402,True,False,0.0,Alpha,Warrant Officer
G19017,True,False,0.0,Alpha,Senior Warrant Officer
G22746,True,False,0.0,Alpha,Warrant Officer
G23357,False,,,Alpha,Warrant Officer
G18673,True,False,0.0,Alpha,Senior Warrant Officer
G11740,True,False,0.0,Alpha,Senior Warrant Officer
G23944,False,,,Alpha,Warrant Officer
G22677,True,False,0.0,Alpha,Warrant Officer
G25596,False,,,Alpha,Junior Warrant Officer
G23288,False,,,Alpha,Junior Warrant Officer
G25878,False,,,Alpha,Junior Warrant Officer
G25956,False,,,Alpha,Junior Warrant Officer
G22091,True,False,0.0,Alpha,Warrant Officer
G18716,True,False,0.0,Alpha,Senior Warrant Officer
G22153,False,,,Alpha,Warrant Officer
G11488,True,False,0.0,Alpha,Senior Warrant Officer
G24197,False,,,Alpha,Junior Warrant Officer
G17139,True,True,3.0,Alpha,Senior Warrant Officer
G22314,False,,,Alpha,Warrant Officer
G23423,False,,,Alpha,Junior Warrant Officer
G13885,True,False,0.0,Alpha,Senior Warrant Officer
G08643,True,True,1.9,Alpha,Senior Warrant Officer
G08693,True,False,0.0,Alpha,Senior Warrant Officer
G23673,True,True,2.9,Alpha,Warrant Officer
G24293,False,,,Alpha,Junior Warrant Officer
G23445,False,,,Alpha,Junior Warrant Officer
G21944,False,,,Alpha,Warrant Officer
G22075,False,,,Alpha,Warrant Officer
G23253,False,,,Alpha,Junior Warrant Officer
G22963,False,,,Alpha,Warrant Officer
G22206,False,,,Alpha,Warrant Officer
G23305,False,,,Alpha,Junior Warrant Officer
G24645,False,,,Alpha,Junior Warrant Officer
G25276,False,,,Alpha,Junior Warrant Officer
G24726,True,True,2.8,Alpha,Junior Warrant Officer
G22585,False,,,Alpha,Warrant Officer
G18574,True,False,0.0,Alpha,Senior Warrant Officer
G24803,False,,,Alpha,Junior Warrant Officer
G24422,False,,,Alpha,Junior Warrant Officer
G24379,False,,,Alpha,Junior Warrant Officer
G20209,False,,,Alpha,Senior Warrant Officer
G23995,True,True,1.7,Alpha,Junior Warrant Officer
G15195,True,False,0.0,Alpha,Senior Warrant Officer
G10686,True,True,2.5,Alpha,Senior Warrant Officer
G11957,True,False,0.0,Alpha,Senior Warrant Officer
