person_id,current_rank,current_rank_date,previous_rank,previous_rank_date,current_rank_tenure_years,years_since_last_promotion
AO07216,Lieutenant Colonel,2022-05-14,Major,2019-05-14,4.13,4.13
AO12605,Major,2024-06-19,Captain,2019-06-20,2.03,2.03
AO17018,Captain,2024-10-21,Senior Lieutenant,2021-10-21,1.69,1.69
G22139,Warrant Officer,2025-06-27,Junior Warrant Officer,2023-06-27,1.01,1.01
AO16543,Captain,2023-11-24,Senior Lieutenant,2020-11-23,2.6,2.6
AO22963,Senior Lieutenant,2026-01-21,Lieutenant,2023-01-21,0.44,0.44
AO19391,Captain,2026-06-20,Senior Lieutenant,2023-06-20,0.03,0.03
AO18976,Captain,2025-02-19,Senior Lieutenant,2022-02-19,1.36,1.36
AO13357,Major,2025-06-27,Captain,2020-06-26,1.01,1.01
AO23290,Lieutenant,2024-10-21,,,1.69,1.69
AO16547,Captain,2023-07-30,Senior Lieutenant,2020-07-29,2.92,2.92
AO13497,Major,2025-05-10,Captain,2020-05-10,1.14,1.14
AO17259,Captain,2024-01-10,Senior Lieutenant,2021-01-10,2.47,2.47
AO21304,Senior Lieutenant,2025-01-31,Lieutenant,2022-02-01,1.41,1.41
AO24033,Lieutenant,2025-12-01,,,0.58,0.58
AO25712,Lieutenant,2026-04-18,,,0.2,0.2
AO21586,Senior Lieutenant,2025-10-07,Lieutenant,2022-10-07,0.73,0.73
AO24023,Lieutenant,2025-12-19,,,0.53,0.53
AO21458,Senior Lieutenant,2025-04-11,Lieutenant,2022-04-11,1.22,1.22
AO18524,Captain,2025-11-05,Senior Lieutenant,2022-11-05,0.65,0.65
AO12328,Major,2024-07-29,Captain,2019-07-30,1.92,1.92
AO16636,Captain,2023-02-16,Senior Lieutenant,2020-02-16,3.37,3.37
AO25389,Lieutenant,2026-06-09,,,0.06,0.06
AO25228,Lieutenant,2026-01-28,,,0.42,0.42
AO18688,Captain,2025-03-27,Senior Lieutenant,2022-03-28,1.26,1.26
AO20164,Senior Lieutenant,2024-08-31,Lieutenant,2021-08-31,1.83,1.83
AO25328,Lieutenant,2026-01-03,,,0.49,0.49
AO24416,Lieutenant,2025-04-29,,,1.17,1.17
AO22646,Senior Lieutenant,2026-01-21,Lieutenant,2023-01-21,0.44,0.44
AO22701,Senior Lieutenant,2026-04-26,Lieutenant,2023-04-26,0.18,0.18
AO24250,Lieutenant,2025-03-31,,,1.25,1.25
AO22585,Senior Lieutenant,2026-05-14,Lieutenant,2023-05-14,0.13,0.13
AO12461,Major,2024-11-27,Captain,2019-11-28,1.59,1.59
AO19336,Captain,2026-06-12,Senior Lieutenant,2023-06-12,0.05,0.05
AO17172,Captain,2024-05-06,Senior Lieutenant,2021-05-06,2.15,2.15
AO22921,Senior Lieutenant,2026-04-11,Lieutenant,2023-04-11,0.22,0.22
AO20473,Senior Lieutenant,2024-08-02,Lieutenant,2021-08-02,1.91,1.91
AO24361,Lieutenant,2025-06-30,,,1.0,1.0
AO11628,Major,2023-11-20,Captain,2018-11-20,2.61,2.61
AO21607,Senior Lieutenant,2025-04-11,Lieutenant,2022-04-11,1.22,1.22
AO17445,Captain,2024-05-03,Senior Lieutenant,2021-05-03,2.16,2.16
AO22937,Senior Lieutenant,2026-06-30,Lieutenant,2023-07-01,0.0,0.0
AO23491,Lieutenant,2024-08-20,,,1.86,1.86
AO18742,Captain,2025-04-07,Senior Lieutenant,2022-04-07,1.23,1.23
AO15635,Captain,2022-09-15,Senior Lieutenant,2019-09-15,3.79,3.79
G23402,Warrant Officer,2026-05-10,Junior Warrant Officer,2024-05-10,0.14,0.14
G19017,Senior Warrant Officer,2024-07-26,Warrant Officer,2022-07-26,1.93,1.93
G22746,Warrant Officer,2025-12-19,Junior Warrant Officer,2023-12-19,0.53,0.53
G23357,Warrant Officer,2026-01-28,Junior Warrant Officer,2024-01-29,0.42,0.42
G18673,Senior Warrant Officer,2023-06-23,Warrant Officer,2021-06-23,3.02,3.02
G11740,Senior Warrant Officer,2016-09-29,Warrant Officer,2014-09-30,9.75,9.75
G23944,Warrant Officer,2026-04-04,Junior Warrant Officer,2024-04-03,0.24,0.24
G22677,Warrant Officer,2025-04-26,Junior Warrant Officer,2023-04-26,1.18,1.18
G25596,Junior Warrant Officer,2026-05-10,,,0.14,0.14
G23288,Junior Warrant Officer,2024-09-07,,,1.81,1.81
G25878,Junior Warrant Officer,2026-01-06,,,0.48,0.48
G25956,Junior Warrant Officer,2026-03-28,,,0.26,0.26
G22091,Warrant Officer,2025-07-19,Junior Warrant Officer,2023-07-19,0.95,0.95
G18716,Senior Warrant Officer,2023-08-21,Warrant Officer,2021-08-20,2.86,2.86
G22153,Warrant Officer,2025-08-24,Junior Warrant Officer,2023-08-25,0.85,0.85
G11488,Senior Warrant Officer,2016-05-24,Warrant Officer,2014-05-25,10.1,10.1
G24197,Junior Warrant Officer,2025-09-08,,,0.81,0.81
G17139,Senior Warrant Officer,2022-10-07,Warrant Officer,2020-10-07,3.73,3.73
G22314,Warrant Officer,2025-08-28,Junior Warrant Officer,2023-08-28,0.84,0.84
G23423,Junior Warrant Officer,2024-08-24,,,1.85,1.85
G13885,Senior Warrant Officer,2018-03-31,Warrant Officer,2016-03-31,8.25,8.25
