shot_id,person_id,department,shot_date,shot_sequence_number,is_first_shot,shot_type,outcome
AO07216-S001,AO07216,Alpha,2024-11-01,1,True,Training,Successful
AO07216-S002,AO07216,Alpha,2025-02-24,2,False,PUA,Successful
AO07216-S003,AO07216,Alpha,2025-05-14,3,False,Artillery Spotting,Failed
AO07216-S004,AO07216,Alpha,2025-11-05,4,False,PUA,Failed
AO07216-S005,AO07216,Alpha,2026-03-04,5,False,Laser-guided,Failed
AO07216-S006,AO07216,Alpha,2026-03-26,6,False,Training,Successful
AO07216-S007,AO07216,Alpha,2026-05-12,7,False,Training,Successful
AO07216-S008,AO07216,Alpha,2026-05-15,8,False,PUA,Successful
AO07216-S009,AO07216,Alpha,2026-05-17,9,False,PUA,Failed
AO17018-S001,AO17018,Alpha,2021-05-22,1,True,Training,Successful
AO17018-S002,AO17018,Alpha,2021-08-07,2,False,PUA,Successful
AO17018-S003,AO17018,Alpha,2021-08-13,3,False,PUA,Successful
AO17018-S004,AO17018,Alpha,2021-11-10,4,False,PUA,Successful
AO17018-S005,AO17018,Alpha,2022-04-09,5,False,Artillery Spotting,Successful
AO17018-S006,AO17018,Alpha,2022-07-18,6,False,PUA,Successful
AO17018-S007,AO17018,Alpha,2022-11-19,7,False,PUA,Successful
AO17018-S008,AO17018,Alpha,2022-11-21,8,False,PUA,Successful
AO17018-S009,AO17018,Alpha,2022-12-28,9,False,Laser-guided,Successful
AO17018-S010,AO17018,Alpha,2023-06-06,10,False,PUA,Successful
AO17018-S011,AO17018,Alpha,2023-06-29,11,False,PUA,Successful
AO17018-S012,AO17018,Alpha,2023-08-01,12,False,Training,Successful
AO17018-S013,AO17018,Alpha,2023-11-04,13,False,PUA,Successful
AO17018-S014,AO17018,Alpha,2024-05-03,14,False,PUA,Successful
AO17018-S015,AO17018,Alpha,2024-06-01,15,False,Laser-guided,Successful
AO17018-S016,AO17018,Alpha,2025-01-07,16,False,PUA,Successful
AO17018-S017,AO17018,Alpha,2025-05-14,17,False,PUA,Successful
AO17018-S018,AO17018,Alpha,2025-12-01,18,False,PUA,Successful
AO22963-S001,AO22963,Alpha,2022-04-14,1,True,PUA,Successful
AO22963-S002,AO22963,Alpha,2022-10-18,2,False,PUA,Successful
AO22963-S003,AO22963,Alpha,2022-10-26,3,False,PUA,Successful
AO22963-S004,AO22963,Alpha,2022-11-22,4,False,Artillery Spotting,Successful
AO22963-S005,AO22963,Alpha,2023-01-20,5,False,PUA,Successful
AO22963-S006,AO22963,Alpha,2023-08-16,6,False,PUA,Successful
AO22963-S007,AO22963,Alpha,2023-10-21,7,False,PUA,Successful
AO22963-S008,AO22963,Alpha,2024-03-03,8,False,PUA,Successful
AO22963-S009,AO22963,Alpha,2024-03-08,9,False,Training,Failed
AO22963-S010,AO22963,Alpha,2024-03-10,10,False,Training,Successful
AO22963-S011,AO22963,Alpha,2024-03-11,11,False,Artillery Spotting,Successful
AO22963-S012,AO22963,Alpha,2024-03-16,12,False,Artillery Spotting,Successful
AO22963-S013,AO22963,Alpha,2024-09-11,13,False,Training,Successful
AO22963-S014,AO22963,Alpha,2025-02-04,14,False,PUA,Successful
AO22963-S015,AO22963,Alpha,2025-09-14,15,False,Laser-guided,Successful
AO22963-S016,AO22963,Alpha,2025-09-29,16,False,PUA,Successful
AO22963-S017,AO22963,Alpha,2025-10-07,17,False,PUA,Successful
AO22963-S018,AO22963,Alpha,2026-01-03,18,False,Laser-guided,Successful
AO22963-S019,AO22963,Alpha,2026-02-19,19,False,PUA,Successful
AO22963-S020,AO22963,Alpha,2026-04-27,20,False,Laser-guided,Successful
AO22963-S021,AO22963,Alpha,2026-06-07,21,False,Laser-guided,Successful
AO22963-S022,AO22963,Alpha,2026-06-27,22,False,PUA,Successful
AO19391-S001,AO19391,Alpha,2023-11-23,1,True,PUA,Failed
AO19391-S002,AO19391,Alpha,2024-03-10,2,False,Artillery Spotting,Failed
AO19391-S003,AO19391,Alpha,2024-04-07,3,False,PUA,Successful
AO19391-S004,AO19391,Alpha,2024-06-15,4,False,Training,Successful
AO19391-S005,AO19391,Alpha,2024-11-19,5,False,PUA,Successful
AO19391-S006,AO19391,Alpha,2024-12-31,6,False,PUA,Successful
AO19391-S007,AO19391,Alpha,2025-07-20,7,False,Artillery Spotting,Successful
AO19391-S008,AO19391,Alpha,2025-09-08,8,False,Laser-guided,Successful
AO19391-S009,AO19391,Alpha,2025-09-10,9,False,Laser-guided,Successful
AO19391-S010,AO19391,Alpha,2025-12-05,10,False,Laser-guided,Successful
AO18976-S001,AO18976,Alpha,2024-06-09,1,True,PUA,Successful
AO18976-S002,AO18976,Alpha,2025-02-15,2,False,PUA,Successful
AO18976-S003,AO18976,Alpha,2025-02-23,3,False,PUA,Successful
AO18976-S004,AO18976,Alpha,2025-06-02,4,False,PUA,Successful
AO18976-S005,AO18976,Alpha,2025-07-10,5,False,Laser-guided,Successful
AO18976-S006,AO18976,Alpha,2025-10-07,6,False,PUA,Successful
AO18976-S007,AO18976,Alpha,2025-12-02,7,False,PUA,Successful
AO18976-S008,AO18976,Alpha,2026-02-22,8,False,PUA,Successful
AO18976-S009,AO18976,Alpha,2026-03-01,9,False,PUA,Successful
AO18976-S010,AO18976,Alpha,2026-05-13,10,False,Training,Successful
AO13357-S001,AO13357,Alpha,2022-11-25,1,True,Laser-guided,Failed
AO13357-S002,AO13357,Alpha,2023-02-10,2,False,Laser-guided,Failed
AO13357-S003,AO13357,Alpha,2023-08-21,3,False,Artillery Spotting,Successful
AO13357-S004,AO13357,Alpha,2023-09-21,4,False,PUA,Failed
AO13357-S005,AO13357,Alpha,2023-11-13,5,False,PUA,Successful
AO13357-S006,AO13357,Alpha,2023-11-30,6,False,Laser-guided,Successful
AO13357-S007,AO13357,Alpha,2023-12-02,7,False,PUA,Failed
AO13357-S008,AO13357,Alpha,2024-04-20,8,False,PUA,Successful
AO23290-S001,AO23290,Alpha,2023-10-24,1,True,Artillery Spotting,Failed
AO23290-S002,AO23290,Alpha,2024-02-21,2,False,Laser-guided,Successful
AO23290-S003,AO23290,Alpha,2024-05-01,3,False,Laser-guided,Successful
AO23290-S004,AO23290,Alpha,2024-06-21,4,False,Training,Successful
AO23290-S005,AO23290,Alpha,2024-07-06,5,False,PUA,Successful
AO23290-S006,AO23290,Alpha,2024-09-23,6,False,PUA,Successful
AO23290-S007,AO23290,Alpha,2024-10-27,7,False,PUA,Failed
AO23290-S008,AO23290,Alpha,2025-02-19,8,False,Laser-guided,Successful
AO23290-S009,AO23290,Alpha,2025-12-14,9,False,Artillery Spotting,Successful
AO23290-S010,AO23290,Alpha,2025-12-21,10,False,PUA,Successful
AO23290-S011,AO23290,Alpha,2026-04-02,11,False,Training,Successful
AO23290-S012,AO23290,Alpha,2026-06-27,12,False,Training,Successful
AO16547-S001,AO16547,Alpha,2024-07-31,1,True,PUA,Failed
AO16547-S002,AO16547,Alpha,2025-04-15,2,False,Artillery Spotting,Successful
AO16547-S003,AO16547,Alpha,2025-06-21,3,False,Laser-guided,Failed
AO16547-S004,AO16547,Alpha,2025-08-08,4,False,PUA,Failed
AO13497-S001,AO13497,Alpha,2022-08-13,1,True,Laser-guided,Successful
AO13497-S002,AO13497,Alpha,2022-08-18,2,False,PUA,Successful
AO13497-S003,AO13497,Alpha,2022-08-31,3,False,PUA,Successful
AO13497-S004,AO13497,Alpha,2022-09-20,4,False,Laser-guided,Failed
AO13497-S005,AO13497,Alpha,2022-12-29,5,False,Laser-guided,Successful
AO13497-S006,AO13497,Alpha,2023-03-31,6,False,PUA,Successful
AO13497-S007,AO13497,Alpha,2023-05-26,7,False,Laser-guided,Failed
AO13497-S008,AO13497,Alpha,2023-10-24,8,False,Laser-guided,Failed
AO13497-S009,AO13497,Alpha,2023-11-21,9,False,Artillery Spotting,Successful
AO13497-S010,AO13497,Alpha,2024-01-03,10,False,Artillery Spotting,Successful
AO13497-S011,AO13497,Alpha,2024-01-30,11,False,PUA,Successful
AO13497-S012,AO13497,Alpha,2024-02-07,12,False,Artillery Spotting,Successful
AO13497-S013,AO13497,Alpha,2024-02-20,13,False,Artillery Spotting,Successful
AO13497-S014,AO13497,Alpha,2024-03-16,14,False,Laser-guided,Successful
AO13497-S015,AO13497,Alpha,2024-08-05,15,False,PUA,Successful
AO13497-S016,AO13497,Alpha,2024-09-28,16,False,PUA,Successful
AO13497-S017,AO13497,Alpha,2025-02-09,17,False,Laser-guided,Successful
AO13497-S018,AO13497,Alpha,2025-04-07,18,False,Training,Successful
AO13497-S019,AO13497,Alpha,2025-11-26,19,False,Laser-guided,Successful
AO17259-S001,AO17259,Alpha,2022-07-18,1,True,PUA,Successful
AO17259-S002,AO17259,Alpha,2023-01-18,2,False,Laser-guided,Successful
AO17259-S003,AO17259,Alpha,2023-08-23,3,False,PUA,Failed
AO17259-S004,AO17259,Alpha,2023-10-28,4,False,PUA,Successful
AO17259-S005,AO17259,Alpha,2024-04-10,5,False,Laser-guided,Successful
AO17259-S006,AO17259,Alpha,2024-06-28,6,False,Training,Successful
AO17259-S007,AO17259,Alpha,2024-08-24,7,False,Laser-guided,Successful
AO17259-S008,AO17259,Alpha,2025-01-05,8,False,Laser-guided,Successful
AO17259-S009,AO17259,Alpha,2025-05-23,9,False,Artillery Spotting,Successful
AO17259-S010,AO17259,Alpha,2025-06-28,10,False,Laser-guided,Successful
AO17259-S011,AO17259,Alpha,2025-08-30,11,False,Artillery Spotting,Failed
AO17259-S012,AO17259,Alpha,2026-04-15,12,False,PUA,Successful
AO21304-S001,AO21304,Alpha,2021-09-12,1,True,Training,Failed
AO21304-S002,AO21304,Alpha,2021-12-25,2,False,PUA,Failed
AO21304-S003,AO21304,Alpha,2022-01-28,3,False,Artillery Spotting,Successful
AO21304-S004,AO21304,Alpha,2022-03-16,4,False,Training,Successful
AO21304-S005,AO21304,Alpha,2022-03-20,5,False,PUA,Successful
AO21304-S006,AO21304,Alpha,2022-08-26,6,False,Artillery Spotting,Successful
AO21304-S007,AO21304,Alpha,2022-09-23,7,False,Artillery Spotting,Successful
AO21304-S008,AO21304,Alpha,2022-12-18,8,False,PUA,Successful
AO21304-S009,AO21304,Alpha,2023-04-21,9,False,PUA,Successful
AO21304-S010,AO21304,Alpha,2023-04-24,10,False,PUA,Successful
AO21304-S011,AO21304,Alpha,2023-07-02,11,False,PUA,Successful
AO21304-S012,AO21304,Alpha,2023-08-08,12,False,Artillery Spotting,Successful
AO21304-S013,AO21304,Alpha,2023-11-08,13,False,Training,Successful
AO21304-S014,AO21304,Alpha,2023-12-02,14,False,PUA,Successful
AO21304-S015,AO21304,Alpha,2024-03-22,15,False,Laser-guided,Successful
AO21304-S016,AO21304,Alpha,2024-04-17,16,False,PUA,Successful
