person_id,department,exam_year,standardization_score,flight_clearance,retake_required,retake_score,final_clearance_status,evaluator_id
AO05709,Delta,2022,82.5,Cleared,False,,Cleared,AO13387
AO05709,Delta,2023,100.0,Cleared,False,,Cleared,AO13387
AO05709,Delta,2024,100.0,Cleared,False,,Cleared,AO13387
AO05709,Delta,2025,97.4,Cleared,False,,Cleared,AO13387
AO05709,Delta,2026,80.5,Cleared,False,,Cleared,AO13387
AO07216,Alpha,2024,95.0,Cleared,False,,Cleared,AO16543
AO07216,Alpha,2025,66.9,Not Cleared,True,83.0,Cleared,AO16543
AO07216,Alpha,2026,74.1,Cleared,False,,Cleared,AO16543
AO11296,Delta,2022,69.6,Not Cleared,True,74.6,Cleared,AO13387
AO11296,Delta,2023,86.5,Cleared,False,,Cleared,AO13387
AO11296,Delta,2024,66.2,Not Cleared,True,73.5,Cleared,AO13387
AO11296,Delta,2025,79.9,Cleared,False,,Cleared,AO13387
AO11296,Delta,2026,83.4,Cleared,False,,Cleared,AO13387
AO11537,Sigma,2021,92.7,Cleared,False,,Cleared,AO12830
AO11537,Sigma,2022,86.4,Cleared,False,,Cleared,AO12830
AO11537,Sigma,2023,72.3,Cleared,False,,Cleared,AO12830
AO11537,Sigma,2024,86.0,Cleared,False,,Cleared,AO12830
AO11537,Sigma,2025,67.2,Not Cleared,True,80.8,Cleared,AO12830
AO11537,Sigma,2026,90.3,Cleared,False,,Cleared,AO12830
AO11628,Alpha,2022,75.2,Cleared,False,,Cleared,AO16543
AO11628,Alpha,2023,64.9,Not Cleared,True,81.4,Cleared,AO16543
AO11628,Alpha,2024,77.7,Cleared,False,,Cleared,AO16543
AO11628,Alpha,2025,51.4,Not Cleared,True,55.1,Not Cleared,AO16543
AO11938,Gamma,2021,86.7,Cleared,False,,Cleared,AO18162
AO11938,Gamma,2022,78.9,Cleared,False,,Cleared,AO18162
AO11938,Gamma,2023,72.7,Cleared,False,,Cleared,AO18162
AO11938,Gamma,2024,80.4,Cleared,False,,Cleared,AO18162
AO11938,Gamma,2025,73.3,Cleared,False,,Cleared,AO18162
AO11938,Gamma,2026,88.5,Cleared,False,,Cleared,AO18162
AO12000,Sigma,2021,83.2,Cleared,False,,Cleared,AO12830
AO12000,Sigma,2022,84.0,Cleared,False,,Cleared,AO12830
AO12000,Sigma,2023,71.8,Cleared,False,,Cleared,AO12830
AO12000,Sigma,2024,64.4,Not Cleared,True,77.8,Cleared,AO12830
AO12000,Sigma,2025,86.7,Cleared,False,,Cleared,AO12830
AO12000,Sigma,2026,72.2,Cleared,False,,Cleared,AO12830
AO12061,Delta,2025,85.1,Cleared,False,,Cleared,AO13387
AO12061,Delta,2026,74.3,Cleared,False,,Cleared,AO13387
AO12140,Sigma,2021,68.0,Not Cleared,True,79.0,Cleared,AO12830
AO12140,Sigma,2022,95.2,Cleared,False,,Cleared,AO12830
AO12140,Sigma,2023,83.7,Cleared,False,,Cleared,AO12830
AO12140,Sigma,2024,64.9,Not Cleared,True,79.7,Cleared,AO12830
AO12140,Sigma,2025,78.2,Cleared,False,,Cleared,AO12830
AO12140,Sigma,2026,79.2,Cleared,False,,Cleared,AO12830
AO12189,Delta,2022,81.5,Cleared,False,,Cleared,AO13387
AO12189,Delta,2023,78.4,Cleared,False,,Cleared,AO13387
AO12189,Delta,2024,58.6,Not Cleared,True,65.9,Not Cleared,AO13387
AO12189,Delta,2025,82.3,Cleared,False,,Cleared,AO13387
AO12189,Delta,2026,83.8,Cleared,False,,Cleared,AO13387
AO12366,Beta,2021,87.7,Cleared,False,,Cleared,AO13826
AO12366,Beta,2022,86.5,Cleared,False,,Cleared,AO13826
AO12366,Beta,2023,64.3,Not Cleared,True,75.4,Cleared,AO13826
AO12366,Beta,2024,96.2,Cleared,False,,Cleared,AO13826
AO12366,Beta,2025,57.7,Not Cleared,True,72.5,Cleared,AO13826
AO12366,Beta,2026,100.0,Cleared,False,,Cleared,AO13826
