person_id,training_name,level,year,role,result,score
AO12605,NATO Partnership Training,National,2021,Participant,Passed,74.2
G22139,Border Watch Exercise,National,2023,Observer,Completed,72.7
AO22963,NATO Partnership Training,Battalion,2022,Participant,Passed,71.3
AO22963,Regional Tactical Exercise,International,2022,Participant,Completed,92.9
AO19391,Qartal Tactical Exercise,Brigade,2023,Participant,Passed,74.5
AO19391,Qartal Tactical Exercise,Battalion,2021,Participant,Passed,82.6
AO18976,Winter Readiness Drill,Battalion,2025,Observer,Passed,82.9
AO13357,Joint Operations Training,National,2022,Instructor,Completed,76.8
AO13357,Winter Readiness Drill,National,2023,Participant,Passed,74.9
AO23290,Winter Readiness Drill,Battalion,2023,Observer,Passed,84.1
AO16547,Qartal Tactical Exercise,National,2025,Instructor,Passed,78.5
AO16547,NATO Partnership Training,Battalion,2024,Participant,Passed,86.8
AO21304,Joint Operations Training,Battalion,2023,Participant,Passed,83.3
AO21304,Border Watch Exercise,Battalion,2025,Instructor,Passed,75.0
AO21304,Live Fire Exercise,International,2023,Instructor,Passed,73.7
AO21304,NATO Partnership Training,Brigade,2021,Participant,Passed,64.8
AO24033,Live Fire Exercise,Battalion,2021,Participant,Passed,93.8
AO24033,Regional Tactical Exercise,International,2024,Participant,Passed,71.8
AO24033,Live Fire Exercise,Brigade,2025,Participant,Passed,94.6
AO25712,Winter Readiness Drill,National,2022,Participant,Passed,68.2
AO25712,Winter Readiness Drill,National,2024,Participant,Completed,83.8
AO25712,Joint Operations Training,Brigade,2021,Instructor,Passed,72.1
AO21586,Border Watch Exercise,Brigade,2024,Participant,Completed,70.1
AO24023,Qartal Tactical Exercise,Brigade,2024,Participant,Passed,73.6
AO21458,Regional Tactical Exercise,Battalion,2024,Observer,Passed,86.2
AO18524,Border Watch Exercise,International,2023,Participant,Passed,69.6
AO18524,Winter Readiness Drill,Battalion,2025,Participant,Completed,78.1
AO12328,Qartal Tactical Exercise,Battalion,2022,Observer,Completed,84.9
AO16636,Winter Readiness Drill,Brigade,2021,Instructor,Failed,59.4
