"department","year","month","total_flight_hours","estimated_fuel_liters","total_shots","technical_problem_count"
"Alpha",2021,1,"552.21","8129","2","1"
"Alpha",2021,2,"424.68","6251","1","1"
"Alpha",2021,3,"479.220000000000005","7054","4","3"
"Alpha",2021,4,"1020.42000000000001","15021","3","1"
"Alpha",2021,5,"1317.57000000000001","19395","1","1"
"Alpha",2021,6,"1043.760000000000000","15364","1","2"
"Alpha",2021,7,"970.560000000000002","14287","0","2"
"Alpha",2021,8,"1310.25000000000001","19287","2","1"
"Alpha",2021,9,"645.659999999999998","9504","5","1"
"Alpha",2021,10,"825.479999999999997","12151","2","2"
"Alpha",2021,11,"733.680000000000004","10800","5","1"
"Alpha",2021,12,"615.48","9060","2","0"
"Alpha",2022,1,"352.560000000000004","5169","4","0"
"Alpha",2022,2,"218.100000000000002","3197","3","1"
"Alpha",2022,3,"489.659999999999996","7178","3","0"
"Alpha",2022,4,"1008.179999999999997","14780","5","1"
"Alpha",2022,5,"1398.48","20502","4","1"
"Alpha",2022,6,"1016.07000000000001","14896","5","1"
"Alpha",2022,7,"792.33","11616","3","0"
"Alpha",2022,8,"876.300000000000003","12847","6","3"
"Alpha",2022,9,"1052.759999999999987","15433","7","2"
"Alpha",2022,10,"738.600000000000005","10828","8","0"
"Alpha",2022,11,"544.23","7978","9","1"
"Alpha",2022,12,"590.459999999999993","8656","7","1"
"Alpha",2023,1,"350.369999999999996","5199","6","2"
"Alpha",2023,2,"515.460000000000003","7649","5","0"
"Alpha",2023,3,"447.72","6644","9","1"
"Alpha",2023,4,"1020.299999999999996","15141","9","2"
"Alpha",2023,5,"836.610000000000019","12415","7","1"
"Alpha",2023,6,"1310.100000000000005","19442","8","1"
"Alpha",2023,7,"1148.729999999999994","17047","6","3"
"Alpha",2023,8,"1183.889999999999998","17569","16","1"
"Alpha",2023,9,"648.930000000000000","9630","7","1"
"Alpha",2023,10,"608.790000000000004","9034","11","2"
"Alpha",2023,11,"803.549999999999996","11925","13","2"
"Alpha",2023,12,"417.150000000000001","6191","10","0"
"Alpha",2024,1,"282.060000000000001","4172","9","1"
"Alpha",2024,2,"258.2699999999999955","3820","9","1"
"Alpha",2024,3,"732.959999999999992","10840","13","1"
"Alpha",2024,4,"1120.409999999999998","16571","11","1"
"Alpha",2024,5,"1356.599999999999994","20064","16","4"
"Alpha",2024,6,"997.140000000000007","14748","9","3"
"Alpha",2024,7,"1108.470000000000008","16394","10","1"
"Alpha",2024,8,"936.329999999999997","13848","12","0"
"Alpha",2024,9,"639.000000000000001","9451","15","1"
"Alpha",2024,10,"603.030000000000001","8919","9","2"
"Alpha",2024,11,"695.339999999999998","10284","10","0"
"Alpha",2024,12,"411.300000000000007","6083","15","1"
"Alpha",2025,1,"262.319999999999999","3953","10","1"
"Alpha",2025,2,"301.590000000000004","4545","11","0"
"Alpha",2025,3,"652.949999999999993","9840","12","1"
"Alpha",2025,4,"810.119999999999993","12209","14","2"
"Alpha",2025,5,"1240.110000000000000","18688","17","5"
"Alpha",2025,6,"1137.569999999999994","17143","12","2"
"Alpha",2025,7,"1681.140000000000001","25335","11","5"
"Alpha",2025,8,"771.9899999999999945","11634","25","3"
"Alpha",2025,9,"977.669999999999998","14733","19","2"
"Alpha",2025,10,"794.339999999999996","11971","14","5"
"Alpha",2025,11,"638.820000000000007","9627","9","2"
"Alpha",2025,12,"739.680000000000001","11147","11","0"
"Alpha",2026,1,"516.6300000000000005","7972","12","0"
"Alpha",2026,2,"351.299999999999995","5421","11","0"
"Alpha",2026,3,"451.920000000000001","6973","15","2"
"Alpha",2026,4,"662.1000000000000012","10216","13","1"
"Alpha",2026,5,"1374.300000000000000","21205","21","5"
"Alpha",2026,6,"908.580000000000008","14019","23","3"
"Beta",2021,1,"408.54","6095","1","0"
"Beta",2021,2,"546.239999999999996","8150","0","0"
"Beta",2021,3,"563.10","8401","1","0"
"Beta",2021,4,"940.29","14029","0","5"
"Beta",2021,5,"1561.47","23297","2","0"
"Beta",2021,6,"1041.39","15538","0","3"
"Beta",2021,7,"817.98","12204","0","2"
"Beta",2021,8,"919.589999999999995","13720","3","1"
"Beta",2021,9,"752.30999999999999","11224","6","3"
"Beta",2021,10,"828.65999999999999","12364","4","0"
"Beta",2021,11,"442.320000000000000","6599","2","1"
"Beta",2021,12,"324.299999999999997","4839","2","0"
"Beta",2022,1,"451.11000000000001","6875","3","0"
"Beta",2022,2,"506.91","7725","5","2"
"Beta",2022,3,"565.499999999999995","8618","3","1"
"Beta",2022,4,"567.840000000000009","8654","2","1"
"Beta",2022,5,"1085.64","16545","1","4"
"Beta",2022,6,"1025.52000000000001","15629","4","1"
"Beta",2022,7,"1491.36","22728","3","3"
"Beta",2022,8,"1202.66999999999999","18329","1","3"
"Beta",2022,9,"1052.159999999999992","16035","7","4"
"Beta",2022,10,"478.620000000000000","7294","6","2"
"Beta",2022,11,"248.61","3789","3","1"
"Beta",2022,12,"342.39","5218","9","1"
"Beta",2023,1,"576.630000000000012","8586","9","2"
"Beta",2023,2,"655.89000000000001","9766","3","2"
"Beta",2023,3,"281.97","4199","4","0"
"Beta",2023,4,"821.310000000000019","12229","6","0"
"Beta",2023,5,"1048.529999999999992","15613","9","1"
"Beta",2023,6,"1077.960000000000012","16051","1","1"
"Beta",2023,7,"1190.58","17728","7","3"
"Beta",2023,8,"687.600000000000002","10238","5","3"
"Beta",2023,9,"771.209999999999992","11483","3","2"
"Beta",2023,10,"900.419999999999987","13407","3","1"
"Beta",2023,11,"630.780000000000001","9392","7","3"
"Beta",2023,12,"603.630000000000006","8988","7","1"
"Beta",2024,1,"409.530000000000006","6041","6","0"
"Beta",2024,2,"273.719999999999995","4037","7","0"
"Beta",2024,3,"593.8500000000000055","8759","14","0"
"Beta",2024,4,"917.55","13534","17","0"
"Beta",2024,5,"1105.11","16300","12","3"
"Beta",2024,6,"756.779999999999992","11163","8","2"
"Beta",2024,7,"891.239999999999987","13146","13","4"
"Beta",2024,8,"1422.719999999999996","20985","18","2"
"Beta",2024,9,"977.429999999999990","14417","13","0"
"Beta",2024,10,"657.450000000000002","9697","14","2"
"Beta",2024,11,"442.019999999999998","6520","9","1"
"Beta",2024,12,"203.04","2995","8","1"
"Beta",2025,1,"489.8700000000000045","7348","18","0"
"Beta",2025,2,"359.0700000000000005","5386","10","0"
"Beta",2025,3,"666.179999999999998","9993","17","1"
"Beta",2025,4,"631.620000000000003","9474","8","0"
"Beta",2025,5,"978.570000000000004","14679","13","3"
"Beta",2025,6,"1038.989999999999986","15585","15","1"
"Beta",2025,7,"979.409999999999997","14691","16","2"
"Beta",2025,8,"993.360000000000001","14900","16","0"
"Beta",2025,9,"740.520000000000000","11108","11","3"
"Beta",2025,10,"521.159999999999994","7817","16","0"
"Beta",2025,11,"689.640000000000001","10345","16","1"
"Beta",2025,12,"489.149999999999995","7337","14","4"
"Beta",2026,1,"554.789999999999997","8283","15","0"
"Beta",2026,2,"456.27","6812","16","3"
"Beta",2026,3,"694.38","10367","17","0"
"Beta",2026,4,"668.4899999999999975","9981","16","0"
"Beta",2026,5,"1135.739999999999990","16957","15","2"
"Beta",2026,6,"1480.799999999999996","22108","20","2"
"Delta",2021,3,"248.16","3866","2","1"
"Delta",2021,4,"917.82","14300","0","1"
"Delta",2021,5,"1544.46","24063","1","0"
"Delta",2021,6,"1163.67","18130","0","2"
"Delta",2021,7,"1133.63999999999999","17662","4","2"
"Delta",2021,8,"1001.399999999999984","15602","2","2"
"Delta",2021,9,"1174.74","18302","3","1"
"Delta",2021,10,"635.34","9899","2","1"
"Delta",2021,11,"268.800000000000009","4188","3","0"
"Delta",2021,12,"570.03","8881","1","2"
"Delta",2022,1,"405.359999999999995","6064","4","2"
"Delta",2022,2,"365.67","5470","5","0"
"Delta",2022,3,"443.909999999999998","6641","5","1"
"Delta",2022,4,"766.29000000000002","11464","2","1"
"Delta",2022,5,"1296.57","19397","1","1"
"Delta",2022,6,"1549.56","23181","2","2"
"Delta",2022,7,"744.12","11132","5","1"
"Delta",2022,8,"1299.15","19435","3","3"
"Delta",2022,9,"777.54","11632","1","1"
"Delta",2022,10,"701.189999999999998","10490","4","2"
"Delta",2022,11,"694.170000000000000","10385","4","1"
"Delta",2022,12,"614.640000000000000","9195","5","0"
"Delta",2023,1,"421.350000000000005","6594","6","1"
"Delta",2023,2,"530.489999999999997","8302","1","1"
"Delta",2023,3,"412.679999999999998","6458","3","1"
"Delta",2023,4,"891.30","13949","2","2"
"Delta",2023,5,"1248.840000000000004","19544","5","2"
"Delta",2023,6,"1131.48","17708","5","3"
"Delta",2023,7,"1298.610000000000002","20323","11","0"
"Delta",2023,8,"1407.599999999999996","22029","4","1"
"Delta",2023,9,"856.589999999999998","13406","5","2"
"Delta",2023,10,"1184.099999999999994","18531","8","0"
