"officer_commissioning_source","specialization","total_shots","success_rate_pct"
"Civilian Direct Commission","Pilot-Operator","164","88.4"
"Civilian Direct Commission","Department Commander","15","86.7"
"Civilian Direct Commission","Operations Officer","124","73.4"
"Civilian Direct Commission","Pilot-Operator Lead","13","69.2"
"Military Academy","Pilot-Operator Lead","49","89.8"
"Military Academy","Pilot-Operator","532","87.6"
"Military Academy","Operations Officer","387","83.2"
"Military Academy","Department Commander","14","64.3"
"Prior Enlisted (Gizir) Commission","Pilot-Operator","337","95.8"
"Prior Enlisted (Gizir) Commission","Operations Officer","215","81.4"
