"department","year","total_flight_hours_real","fuel_burn_rate_l_per_hour","total_maintenance_hours","problem_rate_pct"
"Alpha",2021,"3313.0","14.72","181.1","8.2"
"Alpha",2022,"3025.9","14.66","336.5","6.1"
"Alpha",2023,"3097.2","14.84","543.7","8.7"
"Alpha",2024,"3047.0","14.79","721.7","8.8"
"Alpha",2025,"3336.1","15.07","784.9","14.4"
"Alpha",2026,"1421.6","15.43","439.3","13.1"
"Beta",2021,"3048.7","14.92","325.5","8.3"
"Beta",2022,"3006.1","15.24","335.2","12.9"
"Beta",2023,"3082.2","14.89","549.9","10.4"
"Beta",2024,"2883.5","14.75","765.2","8.9"
"Beta",2025,"2859.2","15.0","838.6","8.9"
"Beta",2026,"1663.5","14.93","408.2","7.0"
"Delta",2021,"2886.0","15.58","172.6","7.1"
"Delta",2022,"3219.4","14.96","265.4","7.9"
"Delta",2023,"3363.7","15.65","531.2","7.7"
"Delta",2024,"3140.6","15.31","716.1","8.1"
"Delta",2025,"3139.7","15.45","750.2","11.4"
"Delta",2026,"1676.3","15.17","409.7","15.2"
"Gamma",2021,"2081.7","14.85","322.0","5.8"
"Gamma",2022,"3162.3","15.24","526.6","5.9"
"Gamma",2023,"3137.2","14.98","675.9","5.9"
"Gamma",2024,"2833.6","15.2","827.1","11.9"
"Gamma",2025,"3842.8","14.99","812.5","14.0"
"Gamma",2026,"1440.6","14.73","413.8","15.5"
"Sigma",2021,"2963.6","15.78","137.7","18.3"
"Sigma",2022,"2785.7","14.91","221.2","13.3"
"Sigma",2023,"3375.7","15.49","410.9","14.6"
"Sigma",2024,"3193.4","15.18","731.9","19.4"
"Sigma",2025,"3641.4","14.75","743.2","20.7"
"Sigma",2026,"1735.3","15.81","416.2","16.7"
