"home_region","success_rate_pct","discipline_rate_pct","num_officers","num_warrant_officers"
"Tovuz","95.1","47.1","3","14"
"Zaqatala","89.6","21.7","9","14"
"Qazax","89.0","28.6","6","8"
"Salyan","88.6","43.5","8","15"
"Yevlax","88.4","31.8","9","13"
"Goranboy","87.5","21.4","11","17"
"İmişli","87.4","21.9","15","17"
"Şamaxı","86.4","10.0","13","17"
"Lənkəran","86.1","44.0","12","13"
"Naxçıvan","85.9","36.7","18","12"
"Ağdam","84.9","20.0","14","21"
"Mingəçevir","84.9","18.5","15","12"
"Bərdə","84.1","28.6","12","9"
"Şirvan","83.9","35.3","19","15"
"Xaçmaz","83.9","31.6","5","33"
"Quba","83.3","4.8","8","13"
"Gəncə","82.4","33.3","15","18"
"Bakı","81.5","42.9","10","11"
"Şəki","78.5","22.7","9","13"
"Sumqayıt","77.5","34.5","9","20"
