"person_id","department","person_total_hours","dept_avg_hours","diff_from_dept_avg"
"G11488","Alpha","3435.879999999999999","907.4","2528.5"
"AO21304","Alpha","3414.739999999999999","907.4","2507.3"
"G19017","Alpha","3071.589999999999996","907.4","2164.2"
"AO12605","Alpha","2167.599999999999994","907.4","1260.2"
"AO20164","Alpha","2127.130000000000014","907.4","1219.7"
"AO21586","Alpha","1864.570000000000000","907.4","957.2"
"AO22963","Alpha","1786.639999999999992","907.4","879.2"
"AO12461","Alpha","1728.900000000000015","907.4","821.5"
"G18716","Alpha","1486.530000000000002","907.4","579.1"
"AO17259","Alpha","1332.350000000000003","907.4","424.9"
"AO22921","Alpha","1304.299999999999998","907.4","396.9"
"AO13357","Alpha","1279.750000000000001","907.4","372.3"
"AO19336","Alpha","1273.349999999999988","907.4","365.9"
"AO22585","Alpha","1266.649999999999986","907.4","359.2"
"AO15635","Alpha","1233.030000000000008","907.4","325.6"
"AO17018","Alpha","1232.180000000000015","907.4","324.8"
"G22153","Alpha","1129.139999999999992","907.4","221.7"
"AO13497","Alpha","1122.399999999999993","907.4","215.0"
"G11740","Alpha","1107.959999999999998","907.4","200.6"
"AO22646","Alpha","1039.200000000000000","907.4","131.8"
"G22314","Alpha","959.190000000000007","907.4","51.8"
"AO20473","Alpha","920.76","907.4","13.4"
"G23944","Alpha","836.800000000000007","907.4","-70.6"
"AO23491","Alpha","810.869999999999991","907.4","-96.5"
"AO21607","Alpha","809.630000000000016","907.4","-97.8"
"AO23290","Alpha","777.97","907.4","-129.4"
"G23288","Alpha","715.2999999999999975","907.4","-192.1"
"G23423","Alpha","658.5300000000000042","907.4","-248.9"
"AO19391","Alpha","654.73","907.4","-252.7"
"AO21458","Alpha","643.749999999999998","907.4","-263.7"
"AO18976","Alpha","624.719999999999997","907.4","-282.7"
"G23357","Alpha","610.059999999999998","907.4","-297.3"
"G18673","Alpha","597.000000000000000","907.4","-310.4"
"G22677","Alpha","574.3800000000000035","907.4","-333.0"
"AO24416","Alpha","546.730000000000006","907.4","-360.7"
"AO11628","Alpha","444.630000000000004","907.4","-462.8"
"AO16547","Alpha","415.459999999999999","907.4","-491.9"
"AO24033","Alpha","392.760000000000003","907.4","-514.6"
"AO24361","Alpha","389.080000000000003","907.4","-518.3"
"AO22701","Alpha","375.510000000000004","907.4","-531.9"
"AO18742","Alpha","371.16","907.4","-536.2"
"AO24250","Alpha","369.400000000000004","907.4","-538.0"
"G24197","Alpha","351.529999999999999","907.4","-555.9"
"AO25712","Alpha","339.970000000000001","907.4","-567.4"
"AO17172","Alpha","317.479999999999998","907.4","-589.9"
"G25956","Alpha","303.549999999999998","907.4","-603.9"
"G25878","Alpha","296.550000000000003","907.4","-610.9"
"AO24023","Alpha","291.710000000000001","907.4","-615.7"
"AO25328","Alpha","273.27","907.4","-634.1"
"AO17445","Alpha","252.03","907.4","-655.4"
"G22746","Alpha","251.359999999999998","907.4","-656.0"
"G23402","Alpha","223.339999999999999","907.4","-684.1"
"G25596","Alpha","215.680000000000003","907.4","-691.7"
"G22091","Alpha","208.29","907.4","-699.1"
"G17139","Alpha","208.12","907.4","-699.3"
"AO22937","Alpha","155.489999999999995","907.4","-751.9"
"AO07216","Alpha","131.6600000000000005","907.4","-775.7"
"AO97199","Beta","3999.759999999999998","870.7","3129.1"
"G15161","Beta","3014.010000000000002","870.7","2143.3"
"G13723","Beta","2898.5399999999999955","870.7","2027.8"
"AO14299","Beta","2333.619999999999996","870.7","1462.9"
"AO22715","Beta","2165.099999999999998","870.7","1294.4"
"AO12366","Beta","2009.340000000000014","870.7","1138.6"
"AO18592","Beta","1854.489999999999985","870.7","983.8"
"AO17162","Beta","1802.2999999999999965","870.7","931.6"
"AO19316","Beta","1697.670000000000011","870.7","827.0"
"G17117","Beta","1538.689999999999996","870.7","668.0"
"AO16430","Beta","1492.68000000000002","870.7","622.0"
"G21624","Beta","1354.830000000000002","870.7","484.1"
"G22927","Beta","1221.409999999999995","870.7","350.7"
"AO16557","Beta","1220.9399999999999885","870.7","350.2"
"G22440","Beta","1142.960000000000005","870.7","272.3"
"AO16486","Beta","1055.910000000000004","870.7","185.2"
"AO15870","Beta","991.909999999999998","870.7","121.2"
"AO20211","Beta","955.770000000000015","870.7","85.1"
"AO21460","Beta","938.8500000000000005","870.7","68.2"
"AO20423","Beta","871.769999999999998","870.7","1.1"
"AO24322","Beta","809.999999999999996","870.7","-60.7"
"G23771","Beta","804.620000000000001","870.7","-66.1"
"AO23051","Beta","725.830000000000005","870.7","-144.9"
"AO23001","Beta","692.459999999999979","870.7","-178.2"
"AO23430","Beta","678.459999999999986","870.7","-192.2"
"AO21945","Beta","650.469999999999996","870.7","-220.2"
"AO23143","Beta","620.429999999999976","870.7","-250.3"
"G24599","Beta","578.279999999999993","870.7","-292.4"
"AO24715","Beta","554.390000000000002","870.7","-316.3"
"AO24225","Beta","538.600000000000000","870.7","-332.1"
"AO23728","Beta","532.15","870.7","-338.5"
"G23268","Beta","508.339999999999998","870.7","-362.4"
"G22969","Beta","507.130000000000004","870.7","-363.6"
"AO24602","Beta","475.630000000000005","870.7","-395.1"
"G24135","Beta","474.62","870.7","-396.1"
"AO24756","Beta","466.339999999999978","870.7","-404.4"
"G11589","Beta","458.62","870.7","-412.1"
"G21223","Beta","372.610000000000001","870.7","-498.1"
"G24819","Beta","347.190000000000000","870.7","-523.5"
"AO24038","Beta","337.590000000000005","870.7","-533.1"
"AO12560","Beta","334.15","870.7","-536.5"
"G24483","Beta","311.809999999999997","870.7","-558.9"
"AO25210","Beta","304.259999999999996","870.7","-566.4"
